
Call:
model.avg(object = stse_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
1/2/13/17    5  -8.09 28.33 11.69   0.00
1/2/17/26    5  -8.09 28.33 11.69   0.00
1/5/17/29    6  -6.70 28.50 11.86   0.00
1/13/17/24   5  -8.26 28.66 12.01   0.00
3/8/14/17    5  -8.26 28.67 12.03   0.00
8/9/14/17    5  -8.26 28.67 12.03   0.00
1/8/17/19    5  -8.29 28.71 12.07   0.00
8/14/17/22   5  -8.30 28.74 12.10   0.00
8/13/14/17   5  -8.31 28.76 12.12   0.00
1/13/17      4  -9.69 28.77 12.13   0.00
1/8/13/17    5  -8.35 28.85 12.21   0.00
8/14/17/18   5  -8.38 28.91 12.27   0.00
8/14/16/17   5  -8.40 28.94 12.29   0.00
7/8/14/17    5  -8.41 28.96 12.32   0.00
1/5/17       4  -9.79 28.97 12.33   0.00
1/6/17       4  -9.80 28.97 12.33   0.00
1/17/26      4  -9.80 28.98 12.34   0.00
8/14/17/24   5  -8.44 29.01 12.37   0.00
8/14/17/25   5  -8.44 29.02 12.38   0.00
1/10/17/28   8  -3.64 29.03 12.39   0.00
8/14/17/26   5  -8.46 29.07 12.43   0.00
1/14/17/29   6  -6.99 29.10 12.46   0.00
1/6/17/29    6  -7.03 29.18 12.53   0.00
1/17/20      4  -9.93 29.24 12.60   0.00
1/11/14/17   6  -7.07 29.25 12.61   0.00
8/17/29      5  -8.57 29.27 12.63   0.00
1/8/17/25    5  -8.57 29.28 12.64   0.00
6/8/14/17    5  -8.60 29.34 12.70   0.00
1/13/17/29   6  -7.11 29.34 12.70   0.00
1/17/24      4 -10.00 29.39 12.74   0.00
1/8/17/22    5  -8.63 29.39 12.75   0.00
1/8/17/20    5  -8.64 29.42 12.78   0.00
8/14/17/19   5  -8.64 29.43 12.78   0.00
1/8/17/30    5  -8.65 29.44 12.79   0.00
1/2/6/17     5  -8.65 29.44 12.80   0.00
1/4/17/29    6  -7.18 29.48 12.84   0.00
1/6/13/17    5  -8.67 29.49 12.85   0.00
1/17/18/29   6  -7.19 29.49 12.85   0.00
1/5/17/26    5  -8.68 29.50 12.86   0.00
1/3/17       4 -10.06 29.51 12.86   0.00
1/8/17/26    5  -8.69 29.53 12.89   0.00
1/3/17/29    6  -7.23 29.57 12.92   0.00
1/17/20/29   6  -7.23 29.57 12.92   0.00
1/7/17/29    6  -7.23 29.57 12.93   0.00
8/14/17/20   5  -8.72 29.59 12.95   0.00
1/8/16/17    5  -8.73 29.60 12.95   0.00
8/14/17/30   5  -8.73 29.60 12.96   0.00
1/7/17       4 -10.11 29.60 12.96   0.00
1/3/8/17     5  -8.74 29.63 12.98   0.00
1/10/14/17   6  -7.26 29.63 12.99   0.00
2/8/14/17    5  -8.76 29.66 13.01   0.00
1/15/17/29   6  -7.27 29.66 13.02   0.00
8/14/17/21   5  -8.76 29.66 13.02   0.00
1/17/30      4 -10.14 29.66 13.02   0.00
1/6/8/17     5  -8.77 29.67 13.03   0.00
1/9/17/29    6  -7.30 29.71 13.07   0.00
1/17/26/29   6  -7.31 29.72 13.08   0.00
1/7/8/17     5  -8.79 29.73 13.08   0.00
1/8/17/24    5  -8.79 29.73 13.09   0.00
1/12/17/29   6  -7.32 29.76 13.12   0.00
1/15/17      4 -10.20 29.78 13.13   0.00
1/17/22/29   6  -7.33 29.78 13.14   0.00
1/17/22      4 -10.21 29.81 13.17   0.00
1/5/6/17     5  -8.84 29.82 13.18   0.00
1/8/12/17    5  -8.84 29.82 13.18   0.00
1/17/25      4 -10.24 29.86 13.22   0.00
1/4/17       4 -10.25 29.88 13.24   0.00
1/12/17      4 -10.26 29.90 13.26   0.00
1/9/17       4 -10.28 29.93 13.29   0.00
1/17/18      4 -10.28 29.94 13.30   0.00
1/8/15/17    5  -8.90 29.95 13.31   0.00
1/16/17      4 -10.29 29.97 13.33   0.00
1/17/19      4 -10.30 29.98 13.34   0.00
1/8/17/18    5  -8.92 29.99 13.35   0.00
1/17/25/29   6  -7.44 29.99 13.35   0.00
1/17/21      4 -10.31 29.99 13.35   0.00
1/4/8/17     5  -8.93 30.00 13.36   0.00
1/8/9/17     5  -8.93 30.00 13.36   0.00
1/8/17/21    5  -8.93 30.00 13.36   0.00
1/16/17/29   6  -7.47 30.04 13.40   0.00
1/17/29/30   6  -7.47 30.06 13.41   0.00
1/17/19/29   6  -7.47 30.06 13.42   0.00
1/17/21/29   6  -7.47 30.06 13.42   0.00
8/17/28/29   8  -4.26 30.27 13.63   0.00
1/17/28/29   8  -4.26 30.27 13.63   0.00
1/17/20/30   5  -9.11 30.36 13.72   0.00
1/2/5/17     5  -9.11 30.37 13.73   0.00
8/13/17      4 -10.50 30.38 13.74   0.00
1/2/17/30    5  -9.12 30.39 13.75   0.00
8/17         3 -11.84 30.48 13.83   0.00
1/2/17/20    5  -9.17 30.48 13.84   0.00
1/17/23/28   8  -4.38 30.51 13.87   0.00
1/4/13/17    5  -9.25 30.63 13.99   0.00
1/2/15/17    5  -9.26 30.66 14.02   0.00
1/17/24/26   5  -9.26 30.67 14.03   0.00
1/9/13/17    5  -9.28 30.69 14.05   0.00
1/9/17/26    5  -9.28 30.70 14.06   0.00
1/4/5/17     5  -9.28 30.71 14.06   0.00
8/17/26      4 -10.67 30.72 14.08   0.00
2/17/26/27   5  -9.29 30.72 14.08   0.00
1/13/17/20   5  -9.29 30.72 14.08   0.00
1/2/17/24    5  -9.29 30.73 14.09   0.00
1/7/17/26    5  -9.31 30.76 14.12   0.00
5/8/17/29    6  -7.83 30.77 14.12   0.00
1/2/17/22    5  -9.33 30.80 14.16   0.00
1/2/16/17    5  -9.33 30.80 14.16   0.00
1/2/17/19    5  -9.34 30.82 14.18   0.00
1/2/3/17     5  -9.35 30.84 14.20   0.00
1/17/22/26   5  -9.35 30.84 14.20   0.00
1/2/4/17     5  -9.35 30.85 14.21   0.00
1/13/17/30   5  -9.37 30.88 14.24   0.00
