
Call:
model.avg(object = stse_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
1/6/8/24     5 -13.63 39.39 22.75   0.00
7/17/22/29   6 -12.14 39.39 22.75   0.00
1/6/8/22     5 -13.63 39.39 22.75   0.00
1/6/8/21     5 -13.63 39.40 22.75   0.00
7/17/26/30   5 -13.63 39.40 22.76   0.00
1/8/9/14     5 -13.63 39.40 22.76   0.00
7/17/20/27   5 -13.63 39.40 22.76   0.00
1/3/30       4 -15.01 39.40 22.76   0.00
2/13/17/25   5 -13.63 39.40 22.76   0.00
1/16/19/25   5 -13.63 39.41 22.77   0.00
1/8/14/20    5 -13.63 39.41 22.77   0.00
3/15/17/27   5 -13.64 39.42 22.77   0.00
5/17/21/26   5 -13.64 39.42 22.78   0.00
1/3/18       4 -15.02 39.42 22.78   0.00
1/6/14       4 -15.02 39.43 22.79   0.00
5/17/20/29   6 -12.16 39.44 22.79   0.00
8/15/17/28   7 -10.57 39.44 22.80   0.00
12/17/19/26  5 -13.65 39.44 22.80   0.00
7/14/17/20   5 -13.65 39.45 22.80   0.00
12/17/20/29  6 -12.17 39.45 22.81   0.00
17/20/24/27  5 -13.65 39.45 22.81   0.00
1/2/25       4 -15.04 39.46 22.81   0.00
17/19/22/26  5 -13.66 39.46 22.81   0.00
1/8/20/22    5 -13.66 39.46 22.81   0.00
9/11/17/26   6 -12.17 39.46 22.82   0.00
9/14/17/29   6 -12.17 39.46 22.82   0.00
1/3/22       4 -15.04 39.46 22.82   0.00
11/17/18/26  6 -12.18 39.46 22.82   0.00
12/14/17/22  5 -13.66 39.46 22.82   0.00
7/17/25/26   5 -13.66 39.46 22.82   0.00
1/15/18      4 -15.04 39.46 22.82   0.00
2/14/15/17   5 -13.66 39.46 22.82   0.00
1/22/25      4 -15.04 39.47 22.83   0.00
1/25/30      4 -15.04 39.47 22.83   0.00
13/14/17/29  6 -12.18 39.47 22.83   0.00
1/21/25      4 -15.05 39.48 22.84   0.00
4/11/17/26   6 -12.19 39.48 22.84   0.00
5/17/22/26   5 -13.67 39.48 22.84   0.00
11/17/24/26  6 -12.19 39.48 22.84   0.00
1/3/8/18     5 -13.67 39.48 22.84   0.00
17/25/26/30  5 -13.67 39.49 22.84   0.00
7/17/25/27   5 -13.67 39.49 22.84   0.00
4/7/17/26    5 -13.67 39.49 22.85   0.00
16/17/20/29  6 -12.19 39.49 22.85   0.00
6/7/17/29    6 -12.19 39.49 22.85   0.00
14/15/17/24  5 -13.67 39.49 22.85   0.00
1/8/16/20    5 -13.67 39.49 22.85   0.00
2/14/17/24   5 -13.67 39.49 22.85   0.00
7/17/29/30   6 -12.19 39.49 22.85   0.00
7/15/17/27   5 -13.68 39.50 22.85   0.00
1/15/16/25   5 -13.68 39.50 22.85   0.00
7/14/17/24   5 -13.68 39.50 22.86   0.00
5/17/25/26   5 -13.68 39.50 22.86   0.00
7/14/17/30   5 -13.68 39.50 22.86   0.00
6/15/17/26   5 -13.68 39.50 22.86   0.00
3/11/17/26   6 -12.19 39.50 22.86   0.00
12/14/17/24  5 -13.68 39.50 22.86   0.00
11/15/17/26  6 -12.20 39.50 22.86   0.00
11/12/17/26  6 -12.20 39.50 22.86   0.00
4/17/19/26   5 -13.68 39.50 22.86   0.00
5/12/17/26   5 -13.68 39.51 22.87   0.00
6/14/15/17   5 -13.68 39.51 22.87   0.00
15/17/24/27  5 -13.68 39.51 22.87   0.00
7/9/17/29    6 -12.20 39.51 22.87   0.00
17/19/25/26  5 -13.68 39.51 22.87   0.00
1/3/20/27    5 -13.69 39.52 22.88   0.00
15/17/22/26  5 -13.69 39.52 22.88   0.00
1/7/18       4 -15.07 39.52 22.88   0.00
9/17/25/27   5 -13.69 39.53 22.89   0.00
13/17/20/29  6 -12.21 39.53 22.89   0.00
7/9/17/26    5 -13.70 39.54 22.90   0.00
1/2/8/20     5 -13.70 39.55 22.90   0.00
1/6/19       4 -15.08 39.55 22.90   0.00
4/15/17/27   5 -13.70 39.55 22.91   0.00
15/17/20/29  6 -12.22 39.55 22.91   0.00
1/7/8/9      5 -13.70 39.55 22.91   0.00
1/24/26/28   7 -10.62 39.55 22.91   0.00
1/12/26/29   6 -12.22 39.56 22.92   0.00
3/7/17/29    6 -12.22 39.56 22.92   0.00
17/19/21/26  5 -13.71 39.56 22.92   0.00
7/16/17/29   6 -12.23 39.56 22.92   0.00
8/11/17/23   7 -10.63 39.56 22.92   0.00
3/17/26/30   5 -13.71 39.57 22.93   0.00
2/5/17/29    6 -12.23 39.57 22.93   0.00
12/14/15/17  5 -13.72 39.57 22.93   0.00
1/8/19/23    6 -12.23 39.58 22.93   0.00
1/3/9        4 -15.10 39.58 22.94   0.00
2/17/29/30   6 -12.24 39.58 22.94   0.00
1/3/8/14     5 -13.72 39.58 22.94   0.00
1/26/28/30   7 -10.64 39.58 22.94   0.00
13/17/22/29  6 -12.24 39.58 22.94   0.00
4/9/17/27    5 -13.72 39.59 22.94   0.00
1/7/16/25    5 -13.72 39.59 22.95   0.00
4/7/14/17    5 -13.72 39.59 22.95   0.00
1/3/27       4 -15.11 39.59 22.95   0.00
1/7/19/25    5 -13.73 39.59 22.95   0.00
9/17/20/27   5 -13.73 39.59 22.95   0.00
5/17/24/26   5 -13.73 39.60 22.95   0.00
17/24/25/27  5 -13.73 39.60 22.96   0.00
1/3/9/20     5 -13.73 39.60 22.96   0.00
7/17/24/26   5 -13.73 39.60 22.96   0.00
7/17/21/26   5 -13.73 39.60 22.96   0.00
15/17/26/30  5 -13.73 39.60 22.96   0.00
5/9/17/26    5 -13.73 39.60 22.96   0.00
14/17/22/24  5 -13.73 39.61 22.96   0.00
4/5/17/26    5 -13.73 39.61 22.96   0.00
4/7/17/29    6 -12.25 39.61 22.96   0.00
5/16/17/26   5 -13.73 39.61 22.96   0.00
5/17/20/26   5 -13.73 39.61 22.97   0.00
12/15/17/27  5 -13.73 39.61 22.97   0.00
5/17/18/26   5 -13.73 39.61 22.97   0.00
7/14/16/17   5 -13.73 39.61 22.97   0.00
7/17/24/29   6 -12.25 39.61 22.97   0.00
4/6/17/26    5 -13.74 39.61 22.97   0.00
1/4/8/20     5 -13.74 39.61 22.97   0.00
1/6/15       4 -15.12 39.62 22.97   0.00
2/3/17/29    6 -12.25 39.62 22.98   0.00
17/19/26/30  5 -13.74 39.62 22.98   0.00
2/6/17/29    6 -12.25 39.62 22.98   0.00
9/15/17/27   5 -13.74 39.62 22.98   0.00
6/13/17/29   6 -12.26 39.62 22.98   0.00
2/17/22/29   6 -12.26 39.62 22.98   0.00
1/7/9        4 -15.12 39.63 22.98   0.00
1/3/20/22    5 -13.74 39.63 22.98   0.00
7/14/17/21   5 -13.74 39.63 22.98   0.00
7/17/24/27   5 -13.74 39.63 22.99   0.00
7/17/21/29   6 -12.26 39.63 22.99   0.00
3/7/14/17    5 -13.74 39.63 22.99   0.00
10/13/17/27  6 -12.26 39.63 22.99   0.00
1/3/7/20     5 -13.74 39.63 22.99   0.00
2/12/14/17   5 -13.74 39.63 22.99   0.00
1/9/19       4 -15.13 39.63 22.99   0.00
1/20/26/29   6 -12.26 39.63 22.99   0.00
1/3/26/29    6 -12.26 39.63 22.99   0.00
1/3/16       4 -15.13 39.64 22.99   0.00
1/8/20/27    5 -13.75 39.64 22.99   0.00
2/17/21/29   6 -12.26 39.64 23.00   0.00
2/17/18/29   6 -12.26 39.64 23.00   0.00
12/13/17/29  6 -12.26 39.64 23.00   0.00
7/16/17/26   5 -13.75 39.64 23.00   0.00
1/6/7/20     5 -13.75 39.64 23.00   0.00
5/17/24/27   5 -13.75 39.64 23.00   0.00
1/3/14/20    5 -13.75 39.64 23.00   0.00
1/3/7        4 -15.13 39.64 23.00   0.00
11/17/29     6 -12.27 39.65 23.01   0.00
1/8/12/20    5 -13.76 39.65 23.01   0.00
6/17/19/26   5 -13.76 39.65 23.01   0.00
1/5/8/20     5 -13.76 39.66 23.01   0.00
17/24/27/30  5 -13.76 39.66 23.01   0.00
1/8/29       5 -13.76 39.66 23.02   0.00
8/17/19/28   7 -10.68 39.66 23.02   0.00
1/8/20/24    5 -13.76 39.66 23.02   0.00
1/8/9/30     5 -13.76 39.66 23.02   0.00
1/8/20/21    5 -13.76 39.66 23.02   0.00
15/17/25/27  5 -13.76 39.66 23.02   0.00
1/18/19      4 -15.14 39.67 23.02   0.00
12/17/20/27  5 -13.76 39.67 23.03   0.00
5/7/17/27    5 -13.77 39.67 23.03   0.00
16/17/25/27  5 -13.77 39.67 23.03   0.00
9/17/19/26   5 -13.77 39.67 23.03   0.00
4/17/20/27   5 -13.77 39.68 23.03   0.00
1/3/19/20    5 -13.77 39.68 23.03   0.00
5/9/17/27    5 -13.77 39.68 23.03   0.00
5/17/20/27   5 -13.77 39.68 23.04   0.00
12/17/25/27  5 -13.77 39.68 23.04   0.00
13/15/17/29  6 -12.29 39.68 23.04   0.00
7/9/17/27    5 -13.77 39.68 23.04   0.00
9/17/24/29   6 -12.29 39.68 23.04   0.00
4/8/17/28    7 -10.69 39.69 23.04   0.00
1/9/15/20    5 -13.77 39.69 23.05   0.00
7/12/17/26   5 -13.77 39.69 23.05   0.00
9/12/17/27   5 -13.77 39.69 23.05   0.00
7/17/20/26   5 -13.77 39.69 23.05   0.00
14/17/20/29  6 -12.29 39.69 23.05   0.00
1/2/3        4 -15.16 39.69 23.05   0.00
3/7/17/27    5 -13.77 39.69 23.05   0.00
5/14/17/29   6 -12.29 39.69 23.05   0.00
10/17/19/26  6 -12.29 39.70 23.05   0.00
7/17/27/30   5 -13.78 39.70 23.05   0.00
4/17/24/27   5 -13.78 39.70 23.05   0.00
1/3/8/30     5 -13.78 39.70 23.06   0.00
9/13/17/29   6 -12.29 39.70 23.06   0.00
17/20/22/29  6 -12.30 39.71 23.07   0.00
14/15/17/20  5 -13.78 39.71 23.07   0.00
16/17/19/26  5 -13.78 39.71 23.07   0.00
9/17/24/27   5 -13.78 39.71 23.07   0.00
1/3/8/9      5 -13.79 39.71 23.07   0.00
17/18/19/26  5 -13.79 39.71 23.07   0.00
17/19/24/26  5 -13.79 39.71 23.07   0.00
3/17/25/27   5 -13.79 39.71 23.07   0.00
1/6/18       4 -15.17 39.71 23.07   0.00
2/13/15/17   5 -13.79 39.71 23.07   0.00
3/12/17/26   5 -13.79 39.72 23.07   0.00
4/17/27/30   5 -13.79 39.72 23.07   0.00
4/17/25/27   5 -13.79 39.72 23.08   0.00
17/22/26/30  5 -13.79 39.72 23.08   0.00
9/17/27/30   5 -13.79 39.72 23.08   0.00
1/9/15       4 -15.17 39.72 23.08   0.00
1/4/26/29    6 -12.31 39.72 23.08   0.00
14/17/29/30  6 -12.31 39.73 23.09   0.00
15/17/27/30  5 -13.79 39.73 23.09   0.00
5/14/15/17   5 -13.79 39.73 23.09   0.00
9/17/18/27   5 -13.79 39.73 23.09   0.00
3/9/17/27    5 -13.79 39.73 23.09   0.00
5/15/17/27   5 -13.79 39.73 23.09   0.00
17/18/24/27  5 -13.80 39.73 23.09   0.00
1/11/25/26   6 -12.31 39.74 23.09   0.00
5/12/17/29   6 -12.31 39.74 23.10   0.00
9/15/17/29   6 -12.32 39.74 23.10   0.00
4/7/17/27    5 -13.80 39.74 23.10   0.00
15/16/17/27  5 -13.80 39.74 23.10   0.00
6/14/17/29   6 -12.32 39.74 23.10   0.00
2/10/14/17   6 -12.32 39.74 23.10   0.00
1/13/19      4 -15.18 39.75 23.10   0.00
3/17/24/27   5 -13.80 39.75 23.11   0.00
17/22/25/27  5 -13.80 39.75 23.11   0.00
10/17/18/29  7 -10.72 39.75 23.11   0.00
16/17/24/27  5 -13.80 39.75 23.11   0.00
3/17/20/27   5 -13.80 39.75 23.11   0.00
1/20/23/30   6 -12.32 39.75 23.11   0.00
17/20/22/27  5 -13.80 39.75 23.11   0.00
12/14/17/18  5 -13.81 39.75 23.11   0.00
7/17/18/27   5 -13.81 39.75 23.11   0.00
11/17/27     5 -13.81 39.76 23.11   0.00
17/23/26     5 -13.81 39.76 23.12   0.00
9/17/29/30   6 -12.32 39.76 23.12   0.00
14/15/17/29  6 -12.32 39.76 23.12   0.00
12/17/24/27  5 -13.81 39.76 23.12   0.00
3/17/27/30   5 -13.81 39.76 23.12   0.00
12/17/27/30  5 -13.81 39.77 23.13   0.00
15/17/18/27  5 -13.81 39.77 23.13   0.00
17/21/24/27  5 -13.81 39.77 23.13   0.00
15/17/21/27  5 -13.81 39.77 23.13   0.00
5/10/14/17   6 -12.33 39.77 23.13   0.00
9/16/17/27   5 -13.82 39.77 23.13   0.00
3/14/15/17   5 -13.82 39.77 23.13   0.00
15/17/22/27  5 -13.82 39.77 23.13   0.00
9/10/17/29   7 -10.73 39.77 23.13   0.00
14/15/17/30  5 -13.82 39.78 23.14   0.00
3/8/17/28    7 -10.74 39.78 23.14   0.00
6/9/17/27    5 -13.82 39.78 23.14   0.00
15/17/19     4 -15.20 39.78 23.14   0.00
17/22/24/27  5 -13.82 39.78 23.14   0.00
7/16/17/27   5 -13.82 39.78 23.14   0.00
1/3/8/13     5 -13.82 39.78 23.14   0.00
1/13/26/29   6 -12.34 39.78 23.14   0.00
9/17/21/27   5 -13.82 39.79 23.14   0.00
6/15/17/27   5 -13.82 39.79 23.15   0.00
13/17/18/29  6 -12.34 39.79 23.15   0.00
1/20/25/28   7 -10.74 39.79 23.15   0.00
5/17/25/27   5 -13.82 39.79 23.15   0.00
6/17/20/29   6 -12.34 39.79 23.15   0.00
6/17/24/27   5 -13.82 39.79 23.15   0.00
6/12/14/17   5 -13.83 39.79 23.15   0.00
9/16/17/29   6 -12.34 39.79 23.15   0.00
6/14/17/24   5 -13.83 39.79 23.15   0.00
3/13/17/29   6 -12.34 39.80 23.16   0.00
17/20/21/27  5 -13.83 39.80 23.16   0.00
7/17/21/27   5 -13.83 39.80 23.16   0.00
14/15/17/18  5 -13.83 39.80 23.16   0.00
6/17/20/27   5 -13.83 39.80 23.16   0.00
12/16/17/29  6 -12.35 39.80 23.16   0.00
17/18/25/27  5 -13.83 39.80 23.16   0.00
9/17/22/27   5 -13.83 39.81 23.16   0.00
7/17/22/27   5 -13.83 39.81 23.17   0.00
7/12/17/27   5 -13.83 39.81 23.17   0.00
4/17/20/29   6 -12.35 39.81 23.17   0.00
6/7/17/27    5 -13.83 39.81 23.17   0.00
16/17/20/27  5 -13.83 39.81 23.17   0.00
16/17/27/30  5 -13.83 39.81 23.17   0.00
17/18/20/27  5 -13.83 39.81 23.17   0.00
14/15/16/17  5 -13.84 39.81 23.17   0.00
12/15/17/26  5 -13.84 39.82 23.17   0.00
11/14/17     5 -13.84 39.82 23.17   0.00
3/15/17/26   5 -13.84 39.82 23.18   0.00
10/15/17/29  7 -10.76 39.82 23.18   0.00
1/19/22      4 -15.22 39.82 23.18   0.00
4/6/17/27    5 -13.84 39.82 23.18   0.00
4/14/15/17   5 -13.84 39.82 23.18   0.00
14/15/17/21  5 -13.84 39.82 23.18   0.00
17/21/22/26  5 -13.84 39.83 23.18   0.00
17/21/25/27  5 -13.84 39.83 23.19   0.00
3/9/17/29    6 -12.36 39.83 23.19   0.00
6/17/25/27   5 -13.84 39.83 23.19   0.00
12/17/18/29  6 -12.36 39.83 23.19   0.00
17/25/27/30  5 -13.84 39.83 23.19   0.00
1/15/16      4 -15.23 39.83 23.19   0.00
5/12/14/17   5 -13.84 39.83 23.19   0.00
1/7/15/20    5 -13.84 39.83 23.19   0.00
4/17/22/26   5 -13.84 39.83 23.19   0.00
3/17/25/26   5 -13.85 39.83 23.19   0.00
12/15/17/29  6 -12.36 39.83 23.19   0.00
1/6/8/29     6 -12.36 39.83 23.19   0.00
1/8/11/26    6 -12.36 39.84 23.19   0.00
17/20/24/29  6 -12.36 39.84 23.19   0.00
4/10/17/29   7 -10.76 39.84 23.19   0.00
4/5/17/27    5 -13.85 39.84 23.20   0.00
13/16/17/29  6 -12.37 39.84 23.20   0.00
6/12/17/29   6 -12.37 39.84 23.20   0.00
1/8/18/30    5 -13.85 39.84 23.20   0.00
12/17/22/29  6 -12.37 39.85 23.21   0.00
1/3/6/29     6 -12.37 39.85 23.21   0.00
1/4/16/25    5 -13.85 39.85 23.21   0.00
15/17/21/26  5 -13.85 39.85 23.21   0.00
10/13/17/29  7 -10.77 39.85 23.21   0.00
3/12/17/29   6 -12.37 39.85 23.21   0.00
3/17/21/26   5 -13.86 39.86 23.21   0.00
1/3/25/28    7 -10.77 39.86 23.22   0.00
3/16/17/26   5 -13.86 39.86 23.22   0.00
17/22/27/30  5 -13.86 39.86 23.22   0.00
10/17/19/27  6 -12.37 39.86 23.22   0.00
4/9/17/29    6 -12.37 39.86 23.22   0.00
9/17/21/29   6 -12.37 39.86 23.22   0.00
17/18/20/29  6 -12.37 39.86 23.22   0.00
3/15/17/29   6 -12.37 39.86 23.22   0.00
13/17/29/30  6 -12.37 39.86 23.22   0.00
3/17/20/29   6 -12.38 39.86 23.22   0.00
14/17/22/29  6 -12.38 39.87 23.22   0.00
17/20/21/29  6 -12.38 39.87 23.22   0.00
1/4/19/25    5 -13.86 39.87 23.22   0.00
13/17/24/29  6 -12.38 39.87 23.23   0.00
1/3/12       4 -15.25 39.87 23.23   0.00
5/16/17/29   6 -12.38 39.88 23.24   0.00
5/15/17/29   6 -12.38 39.88 23.24   0.00
10/17/22/26  6 -12.38 39.88 23.24   0.00
12/17/29/30  6 -12.38 39.88 23.24   0.00
7/10/17/29   7 -10.79 39.88 23.24   0.00
5/17/27/30   5 -13.87 39.88 23.24   0.00
1/3/6/25     5 -13.87 39.89 23.24   0.00
13/17/21/29  6 -12.39 39.89 23.25   0.00
4/17/26/30   5 -13.87 39.89 23.25   0.00
3/6/17/27    5 -13.87 39.89 23.25   0.00
1/3/6/19     5 -13.87 39.89 23.25   0.00
1/8/14/18    5 -13.88 39.89 23.25   0.00
6/15/17/29   6 -12.39 39.89 23.25   0.00
1/19/24/25   5 -13.88 39.89 23.25   0.00
3/17/22/27   5 -13.88 39.90 23.25   0.00
1/14/19      4 -15.26 39.90 23.25   0.00
4/13/17/29   6 -12.39 39.90 23.26   0.00
1/3/24       4 -15.26 39.90 23.26   0.00
12/14/17/30  5 -13.88 39.90 23.26   0.00
17/21/27/30  5 -13.88 39.90 23.26   0.00
4/17/22/27   5 -13.88 39.90 23.26   0.00
1/4/19       4 -15.26 39.91 23.26   0.00
17/18/27/30  5 -13.88 39.91 23.27   0.00
1/14/15      4 -15.27 39.91 23.27   0.00
3/17/20/26   5 -13.88 39.91 23.27   0.00
1/7/15       4 -15.27 39.92 23.28   0.00
6/17/27/30   5 -13.89 39.92 23.28   0.00
3/4/17/26    5 -13.89 39.92 23.28   0.00
3/17/24/26   5 -13.89 39.92 23.28   0.00
3/17/18/26   5 -13.89 39.92 23.28   0.00
3/9/17/26    5 -13.89 39.92 23.28   0.00
1/6/13       4 -15.27 39.92 23.28   0.00
12/17/22/26  5 -13.89 39.92 23.28   0.00
12/17/24/29  6 -12.41 39.92 23.28   0.00
10/16/17/29  7 -10.81 39.92 23.28   0.00
3/4/17/27    5 -13.89 39.92 23.28   0.00
6/17/21/26   5 -13.89 39.93 23.28   0.00
14/17/22/30  5 -13.89 39.93 23.29   0.00
6/17/22/26   5 -13.89 39.93 23.29   0.00
12/14/17/20  5 -13.89 39.93 23.29   0.00
1/3/21       4 -15.28 39.93 23.29   0.00
1/3/5        4 -15.28 39.93 23.29   0.00
1/3/4        4 -15.28 39.93 23.29   0.00
15/17/25/26  5 -13.90 39.94 23.29   0.00
4/17/21/27   5 -13.90 39.94 23.30   0.00
1/3/19/30    5 -13.90 39.94 23.30   0.00
1/5/16/25    5 -13.90 39.94 23.30   0.00
5/17/22/27   5 -13.90 39.94 23.30   0.00
1/15/18/19   5 -13.90 39.94 23.30   0.00
2/14/17/22   5 -13.90 39.94 23.30   0.00
3/12/17/27   5 -13.90 39.94 23.30   0.00
5/17/29/30   6 -12.42 39.94 23.30   0.00
1/9/14       4 -15.28 39.94 23.30   0.00
4/15/17/26   5 -13.90 39.94 23.30   0.00
4/12/17/27   5 -13.90 39.94 23.30   0.00
1/7/11/26    6 -12.42 39.94 23.30   0.00
3/17/21/27   5 -13.90 39.94 23.30   0.00
1/8/23/26    6 -12.42 39.94 23.30   0.00
3/5/17/27    5 -13.90 39.95 23.30   0.00
3/16/17/27   5 -13.90 39.95 23.31   0.00
1/8/10/19    6 -12.42 39.95 23.31   0.00
4/16/17/27   5 -13.90 39.95 23.31   0.00
15/16/17/26  5 -13.90 39.95 23.31   0.00
12/17/21/29  6 -12.42 39.95 23.31   0.00
4/12/17/29   6 -12.42 39.95 23.31   0.00
17/20/22/26  5 -13.90 39.95 23.31   0.00
4/17/18/27   5 -13.90 39.95 23.31   0.00
2/3/14/17    5 -13.91 39.95 23.31   0.00
1/8/10/26    6 -12.42 39.95 23.31   0.00
12/14/16/17  5 -13.91 39.96 23.31   0.00
6/17/29/30   6 -12.42 39.96 23.32   0.00
16/17/22/27  5 -13.91 39.96 23.32   0.00
15/17/24/26  5 -13.91 39.96 23.32   0.00
9/15/17/26   5 -13.91 39.96 23.32   0.00
12/14/17/21  5 -13.91 39.96 23.32   0.00
17/22/25/26  5 -13.91 39.96 23.32   0.00
1/7/10/26    6 -12.43 39.96 23.32   0.00
4/12/14/17   5 -13.91 39.97 23.32   0.00
3/12/14/17   5 -13.91 39.97 23.32   0.00
10/17/29/30  7 -10.83 39.97 23.32   0.00
5/10/17      5 -13.91 39.97 23.33   0.00
5/12/17/27   5 -13.91 39.97 23.33   0.00
3/17/18/27   5 -13.91 39.97 23.33   0.00
14/16/17/29  6 -12.43 39.97 23.33   0.00
15/16/17/29  6 -12.43 39.97 23.33   0.00
1/3/5/20     5 -13.91 39.97 23.33   0.00
15/17/20/26  5 -13.92 39.98 23.33   0.00
1/15/20/27   5 -13.92 39.98 23.33   0.00
15/17/18/26  5 -13.92 39.98 23.33   0.00
6/17/25/26   5 -13.92 39.98 23.33   0.00
1/3/20/24    5 -13.92 39.98 23.34   0.00
1/6/16       4 -15.30 39.98 23.34   0.00
17/21/26/30  5 -13.92 39.98 23.34   0.00
15/17/22/29  6 -12.44 39.98 23.34   0.00
10/17/24/29  7 -10.84 39.98 23.34   0.00
15/17/29/30  6 -12.44 39.99 23.35   0.00
5/14/17/24   5 -13.92 39.99 23.35   0.00
4/12/17/26   5 -13.93 39.99 23.35   0.00
14/17/24/30  5 -13.93 39.99 23.35   0.00
12/16/17/27  5 -13.93 39.99 23.35   0.00
9/17/22/26   5 -13.93 39.99 23.35   0.00
1/6/9        4 -15.31 40.00 23.35   0.00
12/17/22/27  5 -13.93 40.00 23.35   0.00
13/17/19/25  5 -13.93 40.00 23.36   0.00
1/11/24/26   6 -12.44 40.00 23.36   0.00
1/8/25/28    7 -10.85 40.00 23.36   0.00
14/17/20/22  5 -13.93 40.00 23.36   0.00
3/14/17/29   6 -12.44 40.00 23.36   0.00
12/17/21/27  5 -13.93 40.00 23.36   0.00
5/17/18/27   5 -13.93 40.00 23.36   0.00
10/14/17/29  7 -10.85 40.00 23.36   0.00
5/17/21/27   5 -13.93 40.00 23.36   0.00
14/17/24/29  6 -12.45 40.00 23.36   0.00
10/17/21/29  7 -10.85 40.00 23.36   0.00
14/17/18/29  6 -12.45 40.01 23.36   0.00
1/25/26/29   6 -12.45 40.01 23.37   0.00
5/16/17/27   5 -13.93 40.01 23.37   0.00
2/13/17/19   5 -13.93 40.01 23.37   0.00
3/14/17/22   5 -13.93 40.01 23.37   0.00
6/14/17/30   5 -13.93 40.01 23.37   0.00
6/14/17/22   5 -13.93 40.01 23.37   0.00
8/17/20/28   7 -10.85 40.01 23.37   0.00
1/3/6/30     5 -13.94 40.01 23.37   0.00
1/7/22       4 -15.32 40.01 23.37   0.00
5/6/17/27    5 -13.94 40.01 23.37   0.00
2/4/14/17    5 -13.94 40.01 23.37   0.00
14/17/23     5 -13.94 40.02 23.37   0.00
6/12/17/27   5 -13.94 40.02 23.37   0.00
4/14/17/29   6 -12.45 40.02 23.37   0.00
17/22/24/26  5 -13.94 40.02 23.38   0.00
12/17/18/27  5 -13.94 40.02 23.38   0.00
1/19/27      4 -15.32 40.02 23.38   0.00
4/6/17/29    6 -12.45 40.02 23.38   0.00
1/20/29      5 -13.94 40.02 23.38   0.00
1/3/29       5 -13.94 40.02 23.38   0.00
6/17/26/30   5 -13.94 40.02 23.38   0.00
1/6/20/27    5 -13.94 40.02 23.38   0.00
17/21/22/27  5 -13.94 40.02 23.38   0.00
5/6/17/29    6 -12.46 40.02 23.38   0.00
1/3/16/20    5 -13.94 40.02 23.38   0.00
1/15/19/25   5 -13.94 40.02 23.38   0.00
1/4/6/20     5 -13.94 40.02 23.38   0.00
14/17/21/29  6 -12.46 40.03 23.39   0.00
16/17/21/27  5 -13.94 40.03 23.39   0.00
17/18/22/26  5 -13.94 40.03 23.39   0.00
1/11/26/30   6 -12.46 40.03 23.39   0.00
16/17/22/26  5 -13.94 40.03 23.39   0.00
4/14/17/22   5 -13.95 40.03 23.39   0.00
1/6/22       4 -15.33 40.04 23.40   0.00
6/16/17/29   6 -12.46 40.04 23.40   0.00
17/18/22/27  5 -13.95 40.04 23.40   0.00
6/17/22/27   5 -13.95 40.04 23.40   0.00
6/16/17/27   5 -13.95 40.04 23.40   0.00
1/3/4/20     5 -13.95 40.04 23.40   0.00
16/17/18/27  5 -13.95 40.04 23.40   0.00
6/10/17/26   6 -12.47 40.05 23.40   0.00
1/3/12/20    5 -13.95 40.05 23.41   0.00
1/13/30      4 -15.33 40.05 23.41   0.00
1/3/20/21    5 -13.96 40.05 23.41   0.00
14/17/23/27  6 -12.47 40.05 23.41   0.00
6/17/21/27   5 -13.96 40.05 23.41   0.00
1/19/24      4 -15.34 40.05 23.41   0.00
1/26/29/30   6 -12.47 40.05 23.41   0.00
17/18/21/27  5 -13.96 40.05 23.41   0.00
17/20/26/30  5 -13.96 40.06 23.42   0.00
2/7/13/17    5 -13.96 40.06 23.42   0.00
14/17/18/22  5 -13.96 40.06 23.42   0.00
2/10/17/27   6 -12.48 40.06 23.42   0.00
6/12/17/26   5 -13.96 40.06 23.42   0.00
1/13/15      4 -15.34 40.06 23.42   0.00
14/16/17/22  5 -13.96 40.07 23.42   0.00
5/17/24/29   6 -12.48 40.07 23.43   0.00
10/17/26/30  6 -12.48 40.07 23.43   0.00
6/17/18/27   5 -13.96 40.07 23.43   0.00
1/8/13/30    5 -13.96 40.07 23.43   0.00
14/17/21/22  5 -13.96 40.07 23.43   0.00
1/15/19/20   5 -13.96 40.07 23.43   0.00
6/9/17/26    5 -13.97 40.07 23.43   0.00
1/7/15/19    5 -13.97 40.08 23.43   0.00
1/16/19      4 -15.35 40.08 23.43   0.00
5/14/17/22   5 -13.97 40.08 23.43   0.00
1/8/25/29    6 -12.48 40.08 23.44   0.00
1/6/16/25    5 -13.97 40.08 23.44   0.00
16/17/25/26  5 -13.97 40.08 23.44   0.00
1/8/15/18    5 -13.97 40.08 23.44   0.00
14/17/20/24  5 -13.97 40.08 23.44   0.00
1/9/30       4 -15.35 40.08 23.44   0.00
16/17/22/29  6 -12.48 40.08 23.44   0.00
9/10/14/17   6 -12.49 40.08 23.44   0.00
15/17/24/29  6 -12.49 40.08 23.44   0.00
1/16/18/25   5 -13.97 40.09 23.44   0.00
2/14/17/20   5 -13.97 40.09 23.44   0.00
2/14/17/30   5 -13.97 40.09 23.45   0.00
4/17/25/26   5 -13.97 40.09 23.45   0.00
17/21/25/26  5 -13.97 40.09 23.45   0.00
3/6/14/17    5 -13.97 40.09 23.45   0.00
15/17/21/29  6 -12.49 40.09 23.45   0.00
