
Call:
model.avg(object = bab_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
4/6/14/17    6 -15.48 46.32 14.39   0.00
12/15/24/25  6 -15.48 46.32 14.39   0.00
15/16/27/30  5 -17.01 46.32 14.39   0.00
6/14/21/29   6 -15.48 46.32 14.39   0.00
5/14/15/24   6 -15.48 46.33 14.40   0.00
2/8/15/25    6 -15.48 46.33 14.40   0.00
3/4/5        4 -18.42 46.33 14.40   0.00
2/15/27      5 -17.01 46.33 14.40   0.00
1/3/16/22    5 -17.01 46.33 14.40   0.00
8/15/16/19   5 -17.01 46.33 14.40   0.00
16/21/27     4 -18.42 46.33 14.40   0.00
12/15/27/30  5 -17.01 46.33 14.40   0.00
15/22/29     5 -17.01 46.33 14.40   0.00
3/19/21/25   5 -17.01 46.33 14.40   0.00
7/12/14/15   6 -15.49 46.33 14.40   0.00
4/8/16/29    6 -15.49 46.33 14.40   0.00
6/14/22/30   5 -17.01 46.33 14.40   0.00
4/15/16/22   5 -17.01 46.34 14.41   0.00
1/10/15/28   8 -12.04 46.34 14.41   0.00
6/15/27/30   5 -17.01 46.34 14.41   0.00
11/14/15/20  6 -15.49 46.34 14.41   0.00
8/15/19/24   6 -15.49 46.34 14.41   0.00
7/13/15      5 -17.02 46.34 14.41   0.00
7/8/13/15    5 -17.02 46.34 14.41   0.00
1/3/10       5 -17.02 46.34 14.41   0.00
15/19/22/27  5 -17.02 46.34 14.41   0.00
16/21/30     4 -18.43 46.34 14.41   0.00
9/14/19/21   6 -15.49 46.34 14.41   0.00
6/16/21      4 -18.43 46.34 14.42   0.00
3/6/30       4 -18.43 46.35 14.42   0.00
8/15/18/20   5 -17.02 46.35 14.42   0.00
7/21/22/29   7 -13.84 46.35 14.42   0.00
4/9/15/30    6 -15.49 46.35 14.42   0.00
4/15/16/20   5 -17.02 46.35 14.42   0.00
4/13/15/16   5 -17.02 46.35 14.42   0.00
3/5/13/21    5 -17.02 46.35 14.42   0.00
1/12/14/20   5 -17.02 46.35 14.42   0.00
8/19/21/27   5 -17.02 46.35 14.42   0.00
15/18/21/23  6 -15.49 46.35 14.42   0.00
9/14/27      5 -17.02 46.35 14.42   0.00
4/22/29      5 -17.02 46.35 14.42   0.00
18/21/29     5 -17.02 46.35 14.42   0.00
1/7/15/20    6 -15.49 46.35 14.42   0.00
6/9/14/21    6 -15.50 46.35 14.42   0.00
6/13/14/27   5 -17.02 46.35 14.42   0.00
4/15/20/22   5 -17.02 46.35 14.42   0.00
3/5/20/21    5 -17.02 46.35 14.42   0.00
4/13/15/22   5 -17.02 46.35 14.42   0.00
3/23/25      5 -17.02 46.35 14.42   0.00
3/10/19      5 -17.02 46.35 14.43   0.00
5/15/27/30   5 -17.02 46.36 14.43   0.00
15/22/27/30  5 -17.02 46.36 14.43   0.00
3/19/20/21   5 -17.03 46.36 14.43   0.00
7/21/27/30   6 -15.50 46.36 14.43   0.00
4/13/15/20   5 -17.03 46.36 14.43   0.00
4/14/22/29   6 -15.50 46.36 14.43   0.00
8/15/20/22   5 -17.03 46.36 14.43   0.00
1/4/18/27    5 -17.03 46.36 14.43   0.00
5/15/25/29   6 -15.50 46.36 14.43   0.00
15/20/27/30  5 -17.03 46.36 14.43   0.00
8/9/15/27    6 -15.50 46.36 14.43   0.00
1/15/16/24   6 -15.50 46.36 14.43   0.00
3/13/19/21   5 -17.03 46.36 14.43   0.00
6/15/29      5 -17.03 46.36 14.43   0.00
3/5/6/21     5 -17.03 46.37 14.44   0.00
15/19/27/29  6 -15.50 46.37 14.44   0.00
6/15/19/27   5 -17.03 46.37 14.44   0.00
1/15/27/29   6 -15.50 46.37 14.44   0.00
3/15/17/18   6 -15.50 46.37 14.44   0.00
15/29/30     5 -17.03 46.37 14.44   0.00
5/15/19/29   6 -15.50 46.37 14.44   0.00
14/17/22     5 -17.03 46.37 14.44   0.00
7/15/22/27   6 -15.50 46.37 14.44   0.00
3/8/12/18    5 -17.03 46.37 14.44   0.00
8/20/30      4 -18.44 46.37 14.44   0.00
1/14/15/17   6 -15.51 46.37 14.44   0.00
3/19/27/29   6 -15.51 46.37 14.45   0.00
3/5/19       4 -18.45 46.38 14.45   0.00
12/14/18/25  5 -17.03 46.38 14.45   0.00
1/3/7/16     6 -15.51 46.38 14.45   0.00
1/18         3 -19.76 46.38 14.45   0.00
4/8/25       4 -18.45 46.38 14.45   0.00
8/12/15/22   5 -17.04 46.38 14.45   0.00
1/6/8/14     5 -17.04 46.38 14.45   0.00
4/6/29       5 -17.04 46.38 14.45   0.00
7/16/19/21   6 -15.51 46.38 14.45   0.00
1/27         3 -19.76 46.38 14.45   0.00
16/27        3 -19.76 46.38 14.45   0.00
9/14/21/25   6 -15.51 46.38 14.45   0.00
13/15/20/27  5 -17.04 46.38 14.45   0.00
3/4/13       4 -18.45 46.38 14.46   0.00
5/11/15/25   6 -15.51 46.39 14.46   0.00
1/8/16/29    6 -15.51 46.39 14.46   0.00
5/8/22       4 -18.45 46.39 14.46   0.00
1/18/21      4 -18.45 46.39 14.46   0.00
12/15/19/27  5 -17.04 46.39 14.46   0.00
3/7/18       5 -17.04 46.39 14.46   0.00
3/7/8/18     5 -17.04 46.39 14.46   0.00
13/14/16/22  5 -17.04 46.39 14.46   0.00
3/14/22/24   6 -15.52 46.39 14.46   0.00
13/15/22/27  5 -17.04 46.39 14.46   0.00
3/19/25/27   5 -17.04 46.39 14.46   0.00
3/17/18/27   6 -15.52 46.39 14.46   0.00
4/12/14/28   7 -13.86 46.39 14.46   0.00
3/11/27      5 -17.04 46.39 14.46   0.00
1/16/22      4 -18.46 46.39 14.46   0.00
5/8/20/21    5 -17.04 46.39 14.46   0.00
8/20/22/30   5 -17.04 46.39 14.46   0.00
4/10/15/28   8 -12.07 46.39 14.46   0.00
3/4/17/27    6 -15.52 46.39 14.47   0.00
12/13/15/27  5 -17.04 46.39 14.47   0.00
8/19/20/21   5 -17.04 46.40 14.47   0.00
3/7/8/12     5 -17.04 46.40 14.47   0.00
3/7/12       5 -17.04 46.40 14.47   0.00
8/20/21/27   5 -17.05 46.40 14.47   0.00
6/14/16/22   5 -17.05 46.40 14.47   0.00
1/14/16/25   5 -17.05 46.40 14.47   0.00
3/15/26/27   6 -15.52 46.40 14.47   0.00
7/15/29/30   7 -13.87 46.40 14.47   0.00
3/4/30       4 -18.46 46.40 14.47   0.00
5/8/19/21    5 -17.05 46.40 14.47   0.00
3/6/10/18    6 -15.52 46.40 14.47   0.00
5/15/19/27   5 -17.05 46.40 14.47   0.00
11/14/18/27  6 -15.52 46.40 14.47   0.00
15/25/26/27  6 -15.52 46.41 14.48   0.00
5/8/29       5 -17.05 46.41 14.48   0.00
3/6/19/21    5 -17.05 46.41 14.48   0.00
11/15/21/26  7 -13.87 46.41 14.48   0.00
6/15/24/25   6 -15.52 46.41 14.48   0.00
15/16/21/23  6 -15.52 46.41 14.48   0.00
8/9/14       5 -17.05 46.41 14.48   0.00
4/22/25      4 -18.46 46.41 14.48   0.00
7/14/15/16   6 -15.53 46.41 14.48   0.00
7/8/15/19    5 -17.05 46.41 14.48   0.00
7/15/19      5 -17.05 46.41 14.48   0.00
3/8/10/19    6 -15.53 46.41 14.48   0.00
14/18/29     5 -17.05 46.41 14.48   0.00
3/18/19/22   5 -17.05 46.41 14.48   0.00
8/12/22      4 -18.47 46.41 14.48   0.00
4/13/14/28   7 -13.87 46.42 14.49   0.00
3/8/20/22    5 -17.05 46.42 14.49   0.00
3/17/27      5 -17.05 46.42 14.49   0.00
16/18        3 -19.78 46.42 14.49   0.00
5/7/8/21     5 -17.05 46.42 14.49   0.00
5/7/21       5 -17.05 46.42 14.49   0.00
8/14/19/25   5 -17.06 46.42 14.49   0.00
3/10/14/25   6 -15.53 46.42 14.49   0.00
12/14/21/26  6 -15.53 46.42 14.49   0.00
4/18/21/22   5 -17.06 46.42 14.49   0.00
3/4/20       4 -18.47 46.42 14.50   0.00
4/14/16/28   7 -13.88 46.43 14.50   0.00
13/14/20/22  5 -17.06 46.43 14.50   0.00
4/14/28/30   7 -13.88 46.43 14.50   0.00
4/14/25/28   7 -13.88 46.43 14.50   0.00
15/18/21/26  6 -15.53 46.43 14.50   0.00
7/8/22/30    5 -17.06 46.43 14.50   0.00
7/22/30      5 -17.06 46.43 14.50   0.00
4/8/22/30    5 -17.06 46.43 14.50   0.00
12/14/15/29  6 -15.53 46.43 14.50   0.00
4/15/16/17   6 -15.53 46.43 14.50   0.00
1/8/14/25    5 -17.06 46.43 14.50   0.00
3/9/14/22    6 -15.54 46.43 14.50   0.00
8/29/30      5 -17.06 46.43 14.50   0.00
1/8/14/17    6 -15.54 46.43 14.50   0.00
4/7/30       5 -17.06 46.43 14.51   0.00
4/7/8/30     5 -17.06 46.43 14.51   0.00
3/9/18/21    6 -15.54 46.43 14.51   0.00
3/13/15/24   6 -15.54 46.44 14.51   0.00
3/8/12/22    5 -17.06 46.44 14.51   0.00
3/6/12       4 -18.48 46.44 14.51   0.00
3/7/15/19    6 -15.54 46.44 14.51   0.00
1/6/14/27    5 -17.07 46.44 14.51   0.00
1/3/4/23     6 -15.54 46.44 14.51   0.00
4/9          4 -18.48 46.44 14.51   0.00
4/10/15/18   6 -15.54 46.44 14.51   0.00
1/3/10/21    6 -15.54 46.44 14.52   0.00
6/14/20/22   5 -17.07 46.45 14.52   0.00
14/15/20/29  6 -15.54 46.45 14.52   0.00
5/9/14/21    6 -15.54 46.45 14.52   0.00
13/14/27/30  5 -17.07 46.45 14.52   0.00
3/7/10/14    7 -13.89 46.45 14.52   0.00
3/22/25/27   5 -17.07 46.45 14.52   0.00
8/18/22/30   5 -17.07 46.45 14.52   0.00
3/4/18/25    5 -17.07 46.45 14.52   0.00
7/15/19/27   6 -15.55 46.45 14.52   0.00
2/14/15/16   6 -15.55 46.45 14.52   0.00
13/14/25/27  5 -17.07 46.45 14.52   0.00
14/17/18     5 -17.07 46.45 14.52   0.00
11/15/30     5 -17.07 46.45 14.52   0.00
1/14/21/24   6 -15.55 46.45 14.52   0.00
12/15/29     5 -17.07 46.45 14.52   0.00
1/8/16/19    5 -17.07 46.45 14.52   0.00
1/7/12/15    6 -15.55 46.45 14.52   0.00
3/4/8/30     5 -17.07 46.46 14.53   0.00
2/15/21/30   6 -15.55 46.46 14.53   0.00
7/21/25      5 -17.08 46.46 14.53   0.00
7/8/21/25    5 -17.08 46.46 14.53   0.00
14/22/26     5 -17.08 46.46 14.53   0.00
5/14/22/28   7 -13.90 46.46 14.53   0.00
3/18/19/25   5 -17.08 46.46 14.53   0.00
3/8/25/30    5 -17.08 46.46 14.53   0.00
5/8/15/19    5 -17.08 46.46 14.54   0.00
4/18/21/29   6 -15.55 46.47 14.54   0.00
3/17/21/26   6 -15.55 46.47 14.54   0.00
18/29        4 -18.49 46.47 14.54   0.00
8/14/26/27   6 -15.55 46.47 14.54   0.00
15/20/24/25  6 -15.55 46.47 14.54   0.00
8/10/21      5 -17.08 46.47 14.54   0.00
3/10/16      5 -17.08 46.47 14.54   0.00
5/15/24/25   6 -15.56 46.47 14.54   0.00
1/2/14/22    6 -15.56 46.47 14.54   0.00
14/17/21/26  6 -15.56 46.47 14.54   0.00
2/14/15/18   6 -15.56 46.47 14.54   0.00
5/15/27/29   6 -15.56 46.48 14.55   0.00
3/5/16       4 -18.50 46.48 14.55   0.00
21/22/29     5 -17.08 46.48 14.55   0.00
6/7/21       5 -17.08 46.48 14.55   0.00
6/7/8/21     5 -17.08 46.48 14.55   0.00
3/7/11/21    7 -13.91 46.48 14.55   0.00
1/14/17/21   6 -15.56 46.48 14.55   0.00
8/15/16/29   6 -15.56 46.48 14.55   0.00
3/5/8/18     5 -17.09 46.48 14.55   0.00
4/5/21/29    6 -15.56 46.48 14.55   0.00
2/15/20/21   6 -15.56 46.48 14.55   0.00
8/12/19/21   5 -17.09 46.48 14.55   0.00
7/8/18/21    5 -17.09 46.48 14.55   0.00
7/18/21      5 -17.09 46.48 14.55   0.00
3/16/30      4 -18.50 46.48 14.55   0.00
8/12/13/15   5 -17.09 46.48 14.55   0.00
12/14/17/21  6 -15.56 46.48 14.55   0.00
4/13/14/26   6 -15.56 46.48 14.55   0.00
1/15/19/29   6 -15.56 46.48 14.55   0.00
2/3/21       5 -17.09 46.49 14.56   0.00
8/13/15/20   5 -17.09 46.49 14.56   0.00
10/14/20/21  6 -15.56 46.49 14.56   0.00
3/8/11/15    6 -15.57 46.49 14.56   0.00
3/5/19/21    5 -17.09 46.49 14.56   0.00
1/7/15/28    8 -12.12 46.49 14.56   0.00
3/19/22/25   5 -17.09 46.50 14.57   0.00
14/18/26     5 -17.09 46.50 14.57   0.00
14/16/20/22  5 -17.09 46.50 14.57   0.00
1/4/18       4 -18.51 46.50 14.57   0.00
4/16/18/27   5 -17.10 46.50 14.57   0.00
13/14/22/30  5 -17.10 46.50 14.57   0.00
15/21/23/27  6 -15.57 46.50 14.57   0.00
4/9/15/19    6 -15.57 46.50 14.57   0.00
20/21/22     4 -18.51 46.50 14.57   0.00
1/16/21/22   5 -17.10 46.50 14.57   0.00
1/14/27/30   5 -17.10 46.50 14.57   0.00
7/16/21/22   6 -15.57 46.50 14.57   0.00
4/18/22/27   5 -17.10 46.50 14.58   0.00
14/23/27     5 -17.10 46.51 14.58   0.00
1/3/16/18    5 -17.10 46.51 14.58   0.00
4/5/7/27     6 -15.57 46.51 14.58   0.00
5/7/8/15     5 -17.10 46.51 14.58   0.00
5/7/15       5 -17.10 46.51 14.58   0.00
7/15/16      5 -17.10 46.51 14.58   0.00
7/8/15/16    5 -17.10 46.51 14.58   0.00
3/8/9/15     6 -15.57 46.51 14.58   0.00
14/16/20/25  5 -17.10 46.51 14.58   0.00
3/4/18/23    6 -15.57 46.51 14.58   0.00
2/3/7/21     7 -13.92 46.51 14.58   0.00
3/17/21/22   6 -15.58 46.51 14.58   0.00
4/15/17/30   6 -15.58 46.51 14.58   0.00
16/22        3 -19.83 46.51 14.58   0.00
1/8/11/15    6 -15.58 46.51 14.58   0.00
3/16/17/25   6 -15.58 46.51 14.58   0.00
5/13/14/27   5 -17.10 46.51 14.58   0.00
12/14/18/19  5 -17.10 46.51 14.58   0.00
8/19/21/25   5 -17.10 46.51 14.58   0.00
19/22        3 -19.83 46.51 14.58   0.00
1/14/25/27   5 -17.10 46.51 14.59   0.00
8/13/27      4 -18.52 46.52 14.59   0.00
3/7/8/20     5 -17.10 46.52 14.59   0.00
3/7/20       5 -17.10 46.52 14.59   0.00
4/9/14/25    6 -15.58 46.52 14.59   0.00
1/4/18/21    5 -17.10 46.52 14.59   0.00
1/19         3 -19.83 46.52 14.59   0.00
3/6/20       4 -18.52 46.52 14.59   0.00
1/18/22      4 -18.52 46.52 14.59   0.00
5/29         4 -18.52 46.52 14.59   0.00
4/8/22/29    6 -15.58 46.52 14.59   0.00
3/4/17       5 -17.11 46.52 14.59   0.00
1/13/14/16   5 -17.11 46.52 14.59   0.00
4/9/27       5 -17.11 46.52 14.59   0.00
4/5/7/15     6 -15.58 46.52 14.59   0.00
11/15/18/25  6 -15.58 46.52 14.59   0.00
13/14/21/26  6 -15.58 46.52 14.59   0.00
3/10/18/20   6 -15.58 46.52 14.59   0.00
12/14/21/24  6 -15.58 46.52 14.59   0.00
1/4/23       5 -17.11 46.52 14.59   0.00
3/8/24       5 -17.11 46.52 14.59   0.00
8/13/14/19   5 -17.11 46.52 14.59   0.00
3/5/6        4 -18.52 46.52 14.59   0.00
6/8/19/21    5 -17.11 46.52 14.59   0.00
4/15/19/24   6 -15.58 46.52 14.59   0.00
6/14/21/24   6 -15.58 46.52 14.60   0.00
4/13/14/17   6 -15.58 46.53 14.60   0.00
11/15/17/21  7 -13.93 46.53 14.60   0.00
8/15/22/24   6 -15.58 46.53 14.60   0.00
3/5/7        5 -17.11 46.53 14.60   0.00
3/5/7/8      5 -17.11 46.53 14.60   0.00
3/5/8/22     5 -17.11 46.53 14.60   0.00
2/15/21/27   6 -15.58 46.53 14.60   0.00
1/3/22/30    5 -17.11 46.53 14.60   0.00
6/7/15       5 -17.11 46.53 14.60   0.00
6/7/8/15     5 -17.11 46.53 14.60   0.00
3/6/10/14    6 -15.58 46.53 14.60   0.00
10/12/14/21  6 -15.58 46.53 14.60   0.00
5/14/21/26   6 -15.58 46.53 14.60   0.00
6/8/15/19    5 -17.11 46.53 14.60   0.00
8/9/15/25    6 -15.59 46.53 14.60   0.00
3/10/13/14   6 -15.59 46.53 14.60   0.00
1/3/17       5 -17.11 46.53 14.60   0.00
1/22/25      4 -18.53 46.53 14.60   0.00
6/8/15/16    5 -17.11 46.53 14.60   0.00
12/14/16/19  5 -17.11 46.53 14.60   0.00
4/7/19/21    6 -15.59 46.53 14.61   0.00
7/15/19/25   6 -15.59 46.53 14.61   0.00
5/6/8/15     5 -17.11 46.54 14.61   0.00
3/4/15/24    6 -15.59 46.54 14.61   0.00
4/11/14/22   6 -15.59 46.54 14.61   0.00
11/15/20/25  6 -15.59 46.54 14.61   0.00
1/2/15/28    8 -12.14 46.54 14.61   0.00
8/12/15/19   5 -17.12 46.54 14.61   0.00
5/7/14/15    6 -15.59 46.54 14.61   0.00
8/12/18/21   5 -17.12 46.54 14.61   0.00
6/8/14/19    5 -17.12 46.54 14.61   0.00
1/4/22/27    5 -17.12 46.54 14.61   0.00
2/8/14       5 -17.12 46.54 14.62   0.00
14/21/26/30  6 -15.59 46.55 14.62   0.00
2/6/14/15    6 -15.59 46.55 14.62   0.00
3/12/16      4 -18.53 46.55 14.62   0.00
3/7/21/26    7 -13.94 46.55 14.62   0.00
1/7/27/30    6 -15.59 46.55 14.62   0.00
1/15/18/24   6 -15.59 46.55 14.62   0.00
8/16/21/26   6 -15.59 46.55 14.62   0.00
3/8/13/18    5 -17.12 46.55 14.62   0.00
13/22        3 -19.85 46.55 14.62   0.00
1/3/10/18    6 -15.59 46.55 14.62   0.00
5/7/15/27    6 -15.60 46.55 14.62   0.00
6/11/15      5 -17.12 46.55 14.62   0.00
1/4/16/27    5 -17.12 46.55 14.62   0.00
3/6/15/24    6 -15.60 46.55 14.62   0.00
4/9/12/14    6 -15.60 46.55 14.62   0.00
1/11/14/15   6 -15.60 46.55 14.62   0.00
15/22/25/29  6 -15.60 46.55 14.62   0.00
4/16/21/25   5 -17.12 46.55 14.62   0.00
1/3/4/16     5 -17.12 46.56 14.63   0.00
6/14/27/30   5 -17.12 46.56 14.63   0.00
4/17         4 -18.54 46.56 14.63   0.00
10/14/15/19  6 -15.60 46.56 14.63   0.00
3/10/14/22   6 -15.60 46.56 14.63   0.00
16/17/18/21  6 -15.60 46.56 14.63   0.00
1/5/14/27    5 -17.13 46.56 14.63   0.00
15/16/17/25  6 -15.60 46.56 14.63   0.00
1/10/14/15   6 -15.60 46.56 14.63   0.00
8/9/16/21    6 -15.60 46.56 14.63   0.00
4/7/22/27    6 -15.60 46.56 14.63   0.00
1/8/15/23    6 -15.60 46.56 14.64   0.00
5/8/14/19    5 -17.13 46.57 14.64   0.00
12/14/18/20  5 -17.13 46.57 14.64   0.00
6/14/16/25   5 -17.13 46.57 14.64   0.00
3/4/17/21    6 -15.60 46.57 14.64   0.00
6/22         3 -19.86 46.57 14.64   0.00
8/25/30      4 -18.54 46.57 14.64   0.00
1/15/17/28   8 -12.15 46.57 14.64   0.00
1/3/18/23    6 -15.60 46.57 14.64   0.00
13/15/29     5 -17.13 46.57 14.64   0.00
3/4/16/17    6 -15.61 46.57 14.64   0.00
5/8/15/16    5 -17.13 46.57 14.64   0.00
3/10/18/30   6 -15.61 46.57 14.64   0.00
6/14/25/27   5 -17.13 46.57 14.64   0.00
12/15/21/23  6 -15.61 46.57 14.64   0.00
3/8/18/20    5 -17.13 46.57 14.64   0.00
3/17/22      5 -17.13 46.57 14.64   0.00
4/15/16/29   6 -15.61 46.57 14.64   0.00
14/15/19/28  7 -13.95 46.57 14.64   0.00
10/14/21/27  6 -15.61 46.57 14.65   0.00
5/13/14/22   5 -17.13 46.58 14.65   0.00
15/16/21/26  6 -15.61 46.58 14.65   0.00
4/9/13/14    6 -15.61 46.58 14.65   0.00
8/18/21/27   5 -17.14 46.58 14.65   0.00
3/16/20      4 -18.55 46.58 14.65   0.00
8/12/20/21   5 -17.14 46.58 14.65   0.00
3/14/15/26   6 -15.61 46.58 14.65   0.00
1/3/13/22    5 -17.14 46.58 14.65   0.00
3/8/13/30    5 -17.14 46.58 14.65   0.00
6/12/14/18   5 -17.14 46.58 14.65   0.00
4/8/10/21    6 -15.61 46.58 14.66   0.00
4/14/16/24   6 -15.61 46.58 14.66   0.00
14/21/25/26  6 -15.61 46.59 14.66   0.00
1/4/7/22     6 -15.61 46.59 14.66   0.00
14/19/21/26  6 -15.61 46.59 14.66   0.00
2/13/14/15   6 -15.61 46.59 14.66   0.00
3/8/18/29    6 -15.61 46.59 14.66   0.00
4/7/16/27    6 -15.61 46.59 14.66   0.00
1/7/15/18    6 -15.62 46.59 14.66   0.00
8/9/14/27    6 -15.62 46.59 14.66   0.00
1/6/14/16    5 -17.14 46.59 14.66   0.00
3/6/18/22    5 -17.14 46.59 14.66   0.00
13/15/25/28  7 -13.96 46.59 14.66   0.00
7/15/21/23   7 -13.96 46.59 14.66   0.00
3/5/16/25    5 -17.14 46.59 14.66   0.00
10/13/14/21  6 -15.62 46.59 14.67   0.00
4/5/7/21     6 -15.62 46.60 14.67   0.00
3/4/18/22    5 -17.14 46.60 14.67   0.00
1/5/15/24    6 -15.62 46.60 14.67   0.00
28/29        6 -15.62 46.60 14.67   0.00
3/5/21/29    6 -15.62 46.60 14.67   0.00
3/16/19/27   5 -17.15 46.60 14.67   0.00
1/4/5        4 -18.56 46.60 14.67   0.00
3/10/15/19   6 -15.62 46.60 14.67   0.00
1/3/4/18     5 -17.15 46.60 14.67   0.00
8/14/15/17   6 -15.62 46.60 14.67   0.00
14/22/29     5 -17.15 46.60 14.67   0.00
8/14/15/26   6 -15.62 46.60 14.67   0.00
1/7/16/22    6 -15.62 46.60 14.67   0.00
16/18/21/29  6 -15.62 46.60 14.67   0.00
3/7/15/18    6 -15.62 46.60 14.67   0.00
3/18/26      5 -17.15 46.60 14.67   0.00
7/10/15/21   7 -13.97 46.61 14.68   0.00
14/25/27/30  5 -17.15 46.61 14.68   0.00
5/8/15/20    5 -17.15 46.61 14.68   0.00
5/6/14/22    5 -17.15 46.61 14.68   0.00
4/9/14/30    6 -15.62 46.61 14.68   0.00
3/11/15/18   6 -15.62 46.61 14.68   0.00
3/25/29      5 -17.15 46.61 14.68   0.00
3/7/13/15    6 -15.63 46.61 14.68   0.00
3/16/19/29   6 -15.63 46.61 14.68   0.00
4/18/25      4 -18.57 46.61 14.68   0.00
1/5/15/29    6 -15.63 46.61 14.68   0.00
13/14/21/24  6 -15.63 46.62 14.69   0.00
7/16/27/29   7 -13.97 46.62 14.69   0.00
6/14/21/26   6 -15.63 46.62 14.69   0.00
8/20/27      4 -18.57 46.62 14.69   0.00
13/14/16/18  5 -17.15 46.62 14.69   0.00
3/10/27      5 -17.15 46.62 14.69   0.00
3/16/17/18   6 -15.63 46.62 14.69   0.00
4/15/17/18   6 -15.63 46.62 14.69   0.00
8/13/30      4 -18.57 46.62 14.69   0.00
3/8/14/17    6 -15.63 46.62 14.69   0.00
10/12/15/21  6 -15.63 46.62 14.69   0.00
2/15/19/21   6 -15.63 46.62 14.69   0.00
8/25/27      4 -18.57 46.62 14.70   0.00
14/20/21/26  6 -15.63 46.63 14.70   0.00
18/20/21     4 -18.57 46.63 14.70   0.00
2/14/15/19   6 -15.63 46.63 14.70   0.00
20/22        3 -19.89 46.63 14.70   0.00
14/20/21/24  6 -15.63 46.63 14.70   0.00
4/10/15/19   6 -15.63 46.63 14.70   0.00
5/11/15      5 -17.16 46.63 14.70   0.00
8/13/21/29   6 -15.64 46.63 14.70   0.00
1/3/6/22     5 -17.16 46.63 14.70   0.00
10/14/21/28  8 -12.19 46.63 14.71   0.00
4/10/14/28   8 -12.19 46.64 14.71   0.00
1/25         3 -19.89 46.64 14.71   0.00
4/15/20/29   6 -15.64 46.64 14.71   0.00
4/7/14/23    7 -13.99 46.64 14.71   0.00
15/20/27/29  6 -15.64 46.64 14.71   0.00
4/13/18/29   6 -15.64 46.64 14.71   0.00
3/5/10/18    6 -15.64 46.64 14.71   0.00
9            3 -19.89 46.64 14.71   0.00
26           3 -19.89 46.64 14.71   0.00
1/6/7/15     6 -15.64 46.64 14.71   0.00
4/13/18/27   5 -17.17 46.64 14.71   0.00
1/16/21/29   6 -15.64 46.64 14.72   0.00
3/7/17/21    7 -13.99 46.64 14.72   0.00
5/8/13/14    5 -17.17 46.65 14.72   0.00
4/6/9/15     6 -15.64 46.65 14.72   0.00
14/16/22/30  5 -17.17 46.65 14.72   0.00
3/10/14/30   6 -15.64 46.65 14.72   0.00
3/10/13      5 -17.17 46.65 14.72   0.00
5/8/12/15    5 -17.17 46.65 14.72   0.00
3/12/18/19   5 -17.17 46.65 14.72   0.00
7/13/21/30   6 -15.65 46.65 14.72   0.00
3/7/22/30    6 -15.65 46.65 14.72   0.00
1/4/21/27    5 -17.17 46.66 14.73   0.00
7/13/15/25   6 -15.65 46.66 14.73   0.00
4/12/14/17   6 -15.65 46.66 14.73   0.00
3/16/22/25   5 -17.18 46.66 14.73   0.00
4/12/15/29   6 -15.65 46.66 14.73   0.00
14/21/24/30  6 -15.65 46.66 14.73   0.00
4/14/19/24   6 -15.65 46.66 14.73   0.00
14/19/27/28  7 -14.00 46.66 14.73   0.00
4/14/20/26   6 -15.65 46.66 14.73   0.00
10/14/21/30  6 -15.65 46.66 14.73   0.00
3/8/16/19    5 -17.18 46.66 14.73   0.00
4/14/17/20   6 -15.65 46.66 14.73   0.00
3/8/14/24    6 -15.65 46.66 14.73   0.00
1/6/15/24    6 -15.65 46.66 14.73   0.00
7/8/12/15    5 -17.18 46.66 14.73   0.00
7/12/15      5 -17.18 46.66 14.73   0.00
13/14/16/19  5 -17.18 46.67 14.74   0.00
8/14/29      5 -17.18 46.67 14.74   0.00
4/18/27/30   5 -17.18 46.67 14.74   0.00
1/10/14/21   6 -15.65 46.67 14.74   0.00
4/12/14/26   6 -15.65 46.67 14.74   0.00
8/15/17      5 -17.18 46.67 14.74   0.00
6/14/16/19   5 -17.18 46.67 14.74   0.00
8/12/15/16   5 -17.18 46.67 14.74   0.00
15/17/27     5 -17.18 46.67 14.74   0.00
5/6/14/27    5 -17.18 46.67 14.74   0.00
1/3/29       5 -17.18 46.67 14.74   0.00
1/13/22      4 -18.60 46.67 14.74   0.00
1/13         3 -19.91 46.67 14.74   0.00
8/15/16/20   5 -17.18 46.68 14.75   0.00
8/20/21/25   5 -17.18 46.68 14.75   0.00
1/13/21      4 -18.60 46.68 14.75   0.00
6/8/20/21    5 -17.18 46.68 14.75   0.00
8/15/26/30   6 -15.66 46.68 14.75   0.00
8/15/17/30   6 -15.66 46.68 14.75   0.00
3/6/7/15     6 -15.66 46.68 14.75   0.00
4/16/17/27   6 -15.66 46.68 14.75   0.00
11/12/15/25  6 -15.66 46.68 14.75   0.00
3/8/19/25    5 -17.19 46.68 14.75   0.00
8/15/26      5 -17.19 46.68 14.75   0.00
18/25        3 -19.91 46.68 14.75   0.00
3/12/13      4 -18.60 46.68 14.75   0.00
9/15/16/25   6 -15.66 46.68 14.75   0.00
11/12/14     5 -17.19 46.68 14.75   0.00
4/25/29      5 -17.19 46.68 14.76   0.00
8/20/27/30   5 -17.19 46.68 14.76   0.00
14/17/21/27  6 -15.66 46.68 14.76   0.00
1/8/18       4 -18.60 46.69 14.76   0.00
1/3/13/27    5 -17.19 46.69 14.76   0.00
