
Call:
model.avg(object = bab_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
1/4/15       4 -15.03 39.54  7.61   0.00
4/11/14/27   6 -12.10 39.56  7.63   0.00
4/15/21/25   5 -13.63 39.56  7.63   0.00
1/7/15/30    6 -12.12 39.61  7.68   0.00
4/15/27/29   6 -12.12 39.61  7.68   0.00
4/14/15/28   7 -10.48 39.63  7.70   0.00
3/14/21/27   5 -13.67 39.65  7.72   0.00
14/15/27     4 -15.09 39.66  7.73   0.00
4/14/17/27   6 -12.16 39.68  7.75   0.00
1/3/15/20    5 -13.70 39.70  7.77   0.00
8/15/16/21   5 -13.70 39.72  7.79   0.00
3/8/14/27    5 -13.71 39.73  7.80   0.00
4/14/27/29   6 -12.19 39.73  7.80   0.00
3/7/14/27    6 -12.20 39.75  7.82   0.00
7/14/16/21   6 -12.20 39.76  7.84   0.00
3/7/15/21    6 -12.20 39.77  7.84   0.00
4/14/18      4 -15.15 39.77  7.84   0.00
15/21/25     4 -15.15 39.78  7.85   0.00
4/14         3 -16.47 39.79  7.86   0.00
4/14/26/27   6 -12.23 39.82  7.89   0.00
1/4/5/15     5 -13.77 39.84  7.91   0.00
7/14/21/22   6 -12.24 39.84  7.91   0.00
14/16/21     4 -15.18 39.84  7.91   0.00
15/25        3 -16.50 39.86  7.94   0.00
4/10/14/27   6 -12.27 39.89  7.96   0.00
1/3/13/15    5 -13.80 39.90  7.97   0.00
14/18/21     4 -15.22 39.93  8.00   0.00
3/14/27      4 -15.22 39.93  8.00   0.00
3/11/15/21   6 -12.29 39.94  8.01   0.00
3/14/15/27   5 -13.86 40.03  8.10   0.00
8/14/18/21   5 -13.87 40.04  8.11   0.00
14/15/18/27  5 -13.88 40.07  8.14   0.00
14/15/25/27  5 -13.89 40.08  8.15   0.00
9/14/15/21   6 -12.37 40.10  8.17   0.00
4/14/23/27   6 -12.37 40.11  8.18   0.00
3/15/21/27   5 -13.91 40.13  8.20   0.00
14/21/22     4 -15.32 40.13  8.20   0.00
8/14/21/30   5 -13.94 40.19  8.26   0.00
4/15/21/27   5 -13.94 40.20  8.27   0.00
2/4/14/27    6 -12.43 40.21  8.28   0.00
4/14/24/27   6 -12.43 40.21  8.28   0.00
8/12/15/21   5 -13.96 40.23  8.30   0.00
1/3/14/15    5 -13.96 40.24  8.31   0.00
14/15/25     4 -15.39 40.26  8.33   0.00
3/4/15/27    5 -13.98 40.27  8.34   0.00
8/14/21/27   5 -13.98 40.27  8.34   0.00
7/15/27/30   6 -12.46 40.27  8.34   0.00
4/14/21/28   7 -10.80 40.28  8.35   0.00
14/15        3 -16.71 40.28  8.35   0.00
8/15/21/25   5 -13.99 40.28  8.35   0.00
4/6/14/15    5 -14.00 40.30  8.37   0.00
1/3/14/21    5 -14.01 40.32  8.39   0.00
15/27/28/29  8  -9.04 40.35  8.42   0.00
3/8/15/27    5 -14.04 40.38  8.45   0.00
1/15/25      4 -15.47 40.42  8.49   0.00
1/3/15/18    5 -14.07 40.44  8.51   0.00
8/15/21/27   5 -14.07 40.45  8.52   0.00
3/13/15/21   5 -14.08 40.47  8.54   0.00
4/15/18/27   5 -14.09 40.50  8.57   0.00
3/15/16/21   5 -14.10 40.50  8.57   0.00
3/15/21/30   5 -14.12 40.55  8.62   0.00
4/5/14       4 -15.53 40.55  8.62   0.00
1/15         3 -16.85 40.56  8.63   0.00
2/14/15/21   6 -12.60 40.56  8.63   0.00
1/15/21/25   5 -14.13 40.56  8.63   0.00
3/15/21/22   5 -14.13 40.56  8.63   0.00
8/15/19/21   5 -14.13 40.57  8.64   0.00
4/5/14/18    5 -14.14 40.58  8.65   0.00
3/14/20/21   5 -14.14 40.59  8.66   0.00
11/15/21     5 -14.14 40.59  8.66   0.00
3/6/14/21    5 -14.14 40.59  8.66   0.00
3/15/20/21   5 -14.14 40.59  8.66   0.00
1/3/12/15    5 -14.15 40.61  8.68   0.00
3/15/27      4 -15.57 40.62  8.69   0.00
8/15/20/21   5 -14.16 40.62  8.69   0.00
4/8/14/15    5 -14.16 40.63  8.70   0.00
3/4/15/25    5 -14.17 40.66  8.73   0.00
4/10/14/21   6 -12.65 40.67  8.74   0.00
3/6/15/21    5 -14.19 40.69  8.76   0.00
4/14/22      4 -15.61 40.69  8.76   0.00
4/14/15/20   5 -14.20 40.70  8.77   0.00
4/8/27/29    6 -12.68 40.71  8.78   0.00
1/8/14/21    5 -14.20 40.71  8.78   0.00
3/13/14/21   5 -14.21 40.73  8.80   0.00
4/9/15/21    6 -12.69 40.74  8.81   0.00
4/5/15/21    5 -14.22 40.75  8.82   0.00
15/18/21     4 -15.64 40.76  8.83   0.00
3/15/19/21   5 -14.23 40.76  8.83   0.00
4/15/18/21   5 -14.23 40.76  8.83   0.00
3/14/19/27   5 -14.23 40.76  8.83   0.00
1/4/8/15     5 -14.23 40.77  8.84   0.00
3/5/15/21    5 -14.23 40.77  8.84   0.00
3/5/14/21    5 -14.23 40.78  8.85   0.00
14/15/21/24  6 -12.71 40.78  8.86   0.00
8/15/21/22   5 -14.24 40.79  8.86   0.00
8/15/18/21   5 -14.24 40.79  8.86   0.00
3/8/21       4 -15.66 40.79  8.86   0.00
14/18/21/22  5 -14.25 40.80  8.87   0.00
3/12/14/21   5 -14.25 40.80  8.87   0.00
8/13/15/21   5 -14.25 40.80  8.88   0.00
12/15/21     4 -15.66 40.81  8.88   0.00
3/14/21/25   5 -14.25 40.81  8.88   0.00
4/15/21/28   7 -11.07 40.81  8.88   0.00
3/14/19/21   5 -14.26 40.82  8.89   0.00
7/14/21/30   6 -12.73 40.82  8.89   0.00
4/14/16/18   5 -14.26 40.84  8.91   0.00
15           2 -18.21 40.84  8.91   0.00
3/15         3 -16.99 40.84  8.91   0.00
4/5/15/27    5 -14.27 40.84  8.91   0.00
1/4/15/19    5 -14.28 40.87  8.94   0.00
1/8/15       4 -15.70 40.87  8.95   0.00
1/4/15/30    5 -14.28 40.88  8.95   0.00
7/8/15/21    5 -14.28 40.88  8.95   0.00
7/15/21      5 -14.28 40.88  8.95   0.00
14/15/24/27  6 -12.76 40.88  8.95   0.00
4/15         3 -17.03 40.91  8.98   0.00
1/3/6/15     5 -14.31 40.93  9.00   0.00
1/3/15/16    5 -14.31 40.93  9.00   0.00
3/14         3 -17.04 40.93  9.00   0.00
8/12/14/21   5 -14.31 40.93  9.00   0.00
3/14/15/25   5 -14.32 40.94  9.01   0.00
