
Call:
model.avg(object = spmsc_consensus@objects)

Component model call: 
lmer(formula = BTM ~ <31931 unique rhs>, data = data)

Component models: 
                    df logLik   AICc delta weight
2/15/16/19/21/22/25 10 -36.20 102.41  8.96   0.00
2/11/16/18/19/21/25 10 -36.23 102.45  9.01   0.00
1/2/15/16/18/19/21  10 -36.26 102.52  9.08   0.00
2/15/16/19/21/25/29 10 -36.27 102.54  9.10   0.00
2/9/16/18/19/21/25  10 -36.28 102.55  9.11   0.00
2/16/18/19/20/21/25 10 -36.28 102.57  9.13   0.00
2/16/19/21/33        8 -40.29 102.58  9.13   0.00
2/16/18/21           7 -42.05 102.58  9.14   0.00
2/10/15/16/19/21     9 -38.38 102.59  9.14   0.00
2/16/18/19/21/23/30 10 -36.29 102.59  9.15   0.00
2/6/11/16/18/19/21  10 -36.34 102.68  9.23   0.00
2/15/16/18/19/21/27 10 -36.34 102.68  9.24   0.00
2/5/8/16/18/19/21   10 -36.35 102.70  9.26   0.00
2/16/18/19/21/23/28 10 -36.35 102.71  9.27   0.00
2/16/18/19/21/25/27 10 -36.41 102.81  9.37   0.00
2/8/16/19/21/32     10 -36.42 102.83  9.39   0.00
2/7/16/18/19/21/28  10 -36.42 102.84  9.40   0.00
2/12/16/19/21        8 -40.42 102.84  9.40   0.00
2/16/19/21/25/32    10 -36.42 102.84  9.40   0.00
2/16/18/19/20/21/23 10 -36.44 102.88  9.44   0.00
2/16/18/19/21/22/23 10 -36.45 102.90  9.46   0.00
2/16/18/19/21/25/33 10 -36.46 102.92  9.48   0.00
2/9/16/18/19/21/23  10 -36.47 102.94  9.50   0.00
1/2/16/19/21         8 -40.49 102.98  9.53   0.00
2/6/16/18/19/21/28  10 -36.49 102.99  9.55   0.00
2/16/18/19/21/25/29 10 -36.50 103.01  9.57   0.00
2/15/16/19/21/33     9 -38.61 103.04  9.60   0.00
2/12/16/18/19/21/25 10 -36.53 103.05  9.61   0.00
2/4/16/19/21         8 -40.54 103.07  9.63   0.00
2/8/16/19/21/23      9 -38.62 103.08  9.63   0.00
2/12/15/16/18/19/21 10 -36.55 103.09  9.65   0.00
2/11/16/18/19/21/23 10 -36.58 103.16  9.72   0.00
2/6/7/16/19/21       9 -38.67 103.17  9.72   0.00
2/6/9/16/18/19/21   10 -36.60 103.19  9.75   0.00
2/6/8/16/19/21       9 -38.69 103.21  9.76   0.00
2/15/16/19/21/23/25 10 -36.61 103.23  9.79   0.00
2/10/16/18/19/21/25 10 -36.64 103.27  9.83   0.00
2/4/8/16/18/19/21   10 -36.64 103.28  9.84   0.00
