
Call:
model.avg(object = spmsc_consensus@objects)

Component model call: 
lmer(formula = BTM ~ <31931 unique rhs>, data = data)

Component models: 
                    df logLik   AICc delta weight
2/5/14/16/19/21     10 -41.74 113.47 20.03   0.00
2/5/9/16/19/21/32   11 -39.45 113.47 20.03   0.00
2/6/8/16/18/20/21   10 -41.74 113.48 20.03   0.00
2/6/7/11/16/21/22   10 -41.74 113.48 20.03   0.00
2/4/12/16/18/21/33  10 -41.74 113.48 20.04   0.00
2/3/15/16/19/21/27  10 -41.74 113.48 20.04   0.00
2/11/16/18/21/33     9 -43.83 113.48 20.04   0.00
2/6/7/11/16/21/27   10 -41.74 113.48 20.04   0.00
2/6/7/16/21/22       9 -43.83 113.49 20.05   0.00
2/13/15/16/19/21/33 11 -39.46 113.49 20.05   0.00
2/6/10/15/16/21      9 -43.83 113.49 20.05   0.00
1/2/11/16/19/21/27  10 -41.75 113.49 20.05   0.00
2/4/11/16/21/32     10 -41.75 113.50 20.05   0.00
2/6/16/19/21/24/27  10 -41.75 113.50 20.05   0.00
2/8/11/14/16/19/21  11 -39.46 113.50 20.05   0.00
2/3/16/19/21/30      9 -43.84 113.50 20.05   0.00
1/2/11/16/19/20/21  10 -41.75 113.50 20.06   0.00
2/10/12/16/21        8 -45.75 113.50 20.06   0.00
2/4/8/16/19/20/21   10 -41.75 113.50 20.06   0.00
1/2/9/12/16/19/21   10 -41.75 113.50 20.06   0.00
2/9/13/15/16/21     10 -41.75 113.50 20.06   0.00
1/2/7/15/16/21/28   10 -41.76 113.51 20.07   0.00
2/9/11/12/16/21/28  10 -41.76 113.51 20.07   0.00
2/6/16/21/23/25      9 -43.84 113.51 20.07   0.00
2/12/16/19/21/22/30 10 -41.76 113.51 20.07   0.00
2/16/18/19/21/26/32 12 -36.96 113.52 20.07   0.00
2/9/16/19/21/24/33  10 -41.76 113.52 20.08   0.00
2/16/18/21/30/33     9 -43.85 113.52 20.08   0.00
2/8/16/18/21/27/28  10 -41.76 113.52 20.08   0.00
2/8/12/16/21/23      9 -43.85 113.52 20.08   0.00
2/16/20/21/23/28     9 -43.85 113.52 20.08   0.00
2/4/7/15/16/18/21   10 -41.76 113.52 20.08   0.00
1/2/12/16/19/21/23  10 -41.76 113.52 20.08   0.00
2/4/8/16/18/20/21   10 -41.76 113.52 20.08   0.00
2/8/16/21/23/30      9 -43.85 113.52 20.08   0.00
2/10/11/16/19/21/22 10 -41.76 113.52 20.08   0.00
2/16/18/20/21/32    10 -41.76 113.53 20.09   0.00
2/5/16/21/26         9 -43.85 113.53 20.09   0.00
2/9/16/21/23/27/28  10 -41.76 113.53 20.09   0.00
2/4/7/16/18/21/33   10 -41.76 113.53 20.09   0.00
2/9/16/17/19/21/29  10 -41.77 113.53 20.09   0.00
2/10/16/19/21/28/33 10 -41.77 113.53 20.09   0.00
2/5/16/19/21/22/28  10 -41.77 113.53 20.09   0.00
2/15/16/21/24/28     9 -43.85 113.53 20.09   0.00
2/6/16/19/20/21/24  10 -41.77 113.53 20.09   0.00
2/4/12/16/18/21/27  10 -41.77 113.54 20.09   0.00
2/4/9/11/16/19/21   10 -41.77 113.54 20.09   0.00
2/9/13/16/19/21/28  11 -39.48 113.54 20.10   0.00
2/16/17/18/21/23     9 -43.86 113.54 20.10   0.00
2/7/16/21/22/28      9 -43.86 113.54 20.10   0.00
2/5/16/19/21/22/30  10 -41.77 113.54 20.10   0.00
2/6/8/16/18/21/23   10 -41.77 113.55 20.11   0.00
2/6/12/16/18/21/23  10 -41.78 113.55 20.11   0.00
1/2/4/11/16/19/21   10 -41.78 113.55 20.11   0.00
2/4/11/16/19/21/30  10 -41.78 113.55 20.11   0.00
2/3/16/19/21/22      9 -43.86 113.55 20.11   0.00
2/16/20/21/23/30     9 -43.86 113.56 20.11   0.00
2/9/13/16/18/21     10 -41.78 113.56 20.12   0.00
2/4/6/16/20/21       9 -43.87 113.56 20.12   0.00
2/6/16/18/21/28/30  10 -41.78 113.56 20.12   0.00
2/7/16/18/21/27/28  10 -41.78 113.56 20.12   0.00
2/7/16/18/21/22/28  10 -41.78 113.56 20.12   0.00
2/16/18/20/21/23/28 10 -41.78 113.56 20.12   0.00
2/4/13/16/19/21/25  11 -39.49 113.56 20.12   0.00
2/8/16/18/20/21/23  10 -41.78 113.56 20.12   0.00
2/4/8/16/21/29       9 -43.87 113.57 20.12   0.00
2/4/16/19/20/21/23  10 -41.78 113.57 20.13   0.00
2/6/16/17/18/21      9 -43.87 113.57 20.13   0.00
2/16/21/22/32        9 -43.87 113.57 20.13   0.00
2/6/16/18/21/25/28  10 -41.78 113.57 20.13   0.00
2/8/12/16/21/28/32  11 -39.50 113.57 20.13   0.00
2/10/16/20/21        8 -45.79 113.57 20.13   0.00
2/6/16/21/23/27      9 -43.87 113.57 20.13   0.00
2/4/16/19/21/23/27  10 -41.79 113.57 20.13   0.00
2/16/18/21/23/32    10 -41.79 113.57 20.13   0.00
1/2/12/16/19/21/28  10 -41.79 113.57 20.13   0.00
1/2/4/9/16/19/21    10 -41.79 113.58 20.14   0.00
2/4/14/16/19/21/29  11 -39.50 113.58 20.14   0.00
2/4/15/16/18/21/23  10 -41.79 113.58 20.14   0.00
2/16/21/24/25        8 -45.79 113.58 20.14   0.00
2/11/16/17/19/21/25 10 -41.79 113.58 20.14   0.00
2/5/9/16/18/21       9 -43.88 113.58 20.14   0.00
2/4/12/16/21/28      9 -43.88 113.58 20.14   0.00
2/15/16/21/22/26    10 -41.79 113.58 20.14   0.00
2/7/9/16/17/19/21   10 -41.79 113.58 20.14   0.00
2/9/16/18/21/28/29  10 -41.79 113.59 20.14   0.00
2/4/11/16/19/21/22  10 -41.79 113.59 20.14   0.00
1/2/16/19/21/24/29  10 -41.79 113.59 20.14   0.00
2/7/11/16/21/23/24  10 -41.79 113.59 20.15   0.00
2/4/9/16/18/20/21   10 -41.79 113.59 20.15   0.00
2/9/15/16/21/29      9 -43.88 113.59 20.15   0.00
2/16/21/23/27/28     9 -43.88 113.59 20.15   0.00
2/4/16/21/22/30      9 -43.88 113.59 20.15   0.00
2/4/6/11/16/18/21   10 -41.80 113.59 20.15   0.00
2/4/6/12/16/19/21   10 -41.80 113.59 20.15   0.00
2/16/20/21/22/23     9 -43.88 113.60 20.15   0.00
2/15/16/18/21/27/28 10 -41.80 113.60 20.16   0.00
2/16/21/25/26        9 -43.89 113.60 20.16   0.00
2/5/6/16/19/21/27   10 -41.80 113.60 20.16   0.00
2/8/14/16/19/21/27  11 -39.51 113.60 20.16   0.00
1/2/6/16/18/21/28   10 -41.80 113.60 20.16   0.00
2/5/11/16/19/21/32  11 -39.52 113.60 20.16   0.00
2/6/7/8/16/18/21    10 -41.80 113.61 20.17   0.00
2/10/16/18/21/26    10 -41.80 113.61 20.17   0.00
2/16/18/20/21/26    10 -41.80 113.61 20.17   0.00
2/4/8/16/21/28       9 -43.89 113.61 20.17   0.00
2/8/16/19/21/26/33  11 -39.52 113.61 20.17   0.00
2/9/16/21/23/25/28  10 -41.81 113.62 20.17   0.00
2/8/14/16/19/21/22  11 -39.52 113.62 20.17   0.00
2/9/13/16/18/21/28  11 -39.52 113.62 20.17   0.00
2/16/18/21/22/26    10 -41.81 113.62 20.18   0.00
2/8/13/16/19/21/24  11 -39.52 113.62 20.18   0.00
2/7/14/16/19/21/29  11 -39.53 113.62 20.18   0.00
2/4/7/10/16/21       9 -43.90 113.62 20.18   0.00
2/5/9/16/19/21/33   10 -41.81 113.63 20.18   0.00
1/2/4/8/16/21        9 -43.90 113.63 20.18   0.00
1/2/4/8/16/18/21    10 -41.81 113.63 20.19   0.00
2/4/12/16/18/21/29  10 -41.81 113.63 20.19   0.00
2/5/16/19/21/27/29  10 -41.82 113.63 20.19   0.00
2/4/9/16/21/22       9 -43.90 113.63 20.19   0.00
2/10/16/19/20/21/32 11 -39.53 113.63 20.19   0.00
2/16/18/21/25/26    10 -41.82 113.63 20.19   0.00
2/6/15/16/21/29      9 -43.90 113.63 20.19   0.00
2/12/16/17/18/21     9 -43.90 113.63 20.19   0.00
2/7/13/16/19/21/30  11 -39.53 113.64 20.19   0.00
2/16/19/20/21/23/24 10 -41.82 113.64 20.19   0.00
1/2/10/16/19/21/29  10 -41.82 113.64 20.19   0.00
2/12/16/21/27/28     9 -43.91 113.64 20.20   0.00
2/7/8/11/16/21/27   10 -41.82 113.64 20.20   0.00
2/12/16/21/28/30     9 -43.91 113.64 20.20   0.00
2/7/11/15/16/21/25  10 -41.82 113.64 20.20   0.00
2/4/16/21/23/27      9 -43.91 113.64 20.20   0.00
2/10/11/16/19/20/21 10 -41.82 113.64 20.20   0.00
1/2/16/21/30         8 -45.82 113.64 20.20   0.00
2/7/11/15/16/21/27  10 -41.82 113.64 20.20   0.00
2/4/7/16/21/33       9 -43.91 113.64 20.20   0.00
2/16/17/18/20/21     9 -43.91 113.65 20.21   0.00
1/2/16/19/21/22/30  10 -41.82 113.65 20.21   0.00
2/4/16/21/25/29      9 -43.91 113.65 20.21   0.00
2/6/11/12/16/21      9 -43.91 113.65 20.21   0.00
1/2/10/16/18/21      9 -43.91 113.65 20.21   0.00
2/16/17/19/21/23/29 10 -41.83 113.65 20.21   0.00
2/9/15/16/21/24/28  10 -41.83 113.65 20.21   0.00
2/4/7/9/16/18/21    10 -41.83 113.65 20.21   0.00
2/4/6/10/16/19/21   10 -41.83 113.65 20.21   0.00
2/4/5/16/19/21/22   10 -41.83 113.66 20.21   0.00
2/15/16/18/21/22/28 10 -41.83 113.66 20.21   0.00
2/9/16/21/23/29      9 -43.92 113.66 20.21   0.00
2/4/6/8/16/18/21    10 -41.83 113.66 20.22   0.00
2/4/7/16/18/21/22   10 -41.83 113.66 20.22   0.00
2/12/16/19/21/27/30 10 -41.83 113.66 20.22   0.00
1/2/8/16/17/19/21   10 -41.83 113.66 20.22   0.00
2/7/8/16/18/21/23   10 -41.83 113.66 20.22   0.00
2/10/16/19/21/30/32 11 -39.55 113.66 20.22   0.00
2/5/16/19/20/21/28  10 -41.83 113.67 20.22   0.00
1/2/4/15/16/21/32   11 -39.55 113.67 20.22   0.00
1/2/16/21/23/28      9 -43.92 113.67 20.23   0.00
2/4/16/19/20/21/30  10 -41.84 113.67 20.23   0.00
2/16/19/21/22/25/26 11 -39.55 113.67 20.23   0.00
2/10/11/16/19/21/27 10 -41.84 113.67 20.23   0.00
2/16/18/21/31       10 -41.84 113.68 20.23   0.00
2/15/16/21/26/27    10 -41.84 113.68 20.23   0.00
2/9/16/17/19/21/25  10 -41.84 113.68 20.24   0.00
1/2/4/16/21/22       9 -43.93 113.68 20.24   0.00
2/5/12/16/18/21/28  10 -41.84 113.68 20.24   0.00
2/3/16/19/20/21      9 -43.93 113.68 20.24   0.00
2/6/11/15/16/21/28  10 -41.84 113.68 20.24   0.00
2/8/10/16/21         8 -45.84 113.69 20.25   0.00
2/16/19/20/21/24/33 10 -41.84 113.69 20.25   0.00
2/4/16/19/21/24/32  11 -39.56 113.69 20.25   0.00
1/2/16/19/20/21/30  10 -41.85 113.69 20.25   0.00
2/6/7/11/16/21/30   10 -41.85 113.69 20.25   0.00
1/2/4/16/21/30       9 -43.93 113.69 20.25   0.00
2/8/16/18/20/21/28  10 -41.85 113.69 20.25   0.00
2/11/15/16/21/29     9 -43.93 113.70 20.25   0.00
2/7/16/20/21/30      9 -43.94 113.70 20.25   0.00
2/13/15/16/19/21/32 12 -37.05 113.70 20.26   0.00
1/2/5/9/16/19/21    10 -41.85 113.70 20.26   0.00
2/7/15/16/21/32     10 -41.85 113.70 20.26   0.00
2/12/16/21/22/23     9 -43.94 113.70 20.26   0.00
2/5/11/16/21         8 -45.85 113.70 20.26   0.00
2/9/16/19/21/25/26  11 -39.56 113.70 20.26   0.00
2/7/16/20/21/28      9 -43.94 113.70 20.26   0.00
2/5/6/16/19/21/32   11 -39.57 113.70 20.26   0.00
2/16/21/24/30        8 -45.85 113.70 20.26   0.00
2/7/10/16/19/21/24  10 -41.85 113.70 20.26   0.00
2/4/16/21/22/25      9 -43.94 113.70 20.26   0.00
2/6/16/19/21/24/33  10 -41.85 113.71 20.27   0.00
2/16/20/21/23/33     9 -43.94 113.71 20.27   0.00
2/9/10/15/16/21/28  10 -41.86 113.71 20.27   0.00
2/4/8/11/16/21       9 -43.94 113.71 20.27   0.00
2/4/7/16/19/21/33   10 -41.86 113.72 20.28   0.00
2/6/9/16/18/21/23   10 -41.86 113.72 20.28   0.00
2/10/16/21/27        8 -45.86 113.72 20.28   0.00
2/16/19/21/22/27/33 10 -41.86 113.72 20.28   0.00
2/9/14/16/19/21/29  11 -39.57 113.72 20.28   0.00
2/12/16/19/21/29/32 11 -39.57 113.72 20.28   0.00
2/5/6/16/21          8 -45.86 113.72 20.28   0.00
2/7/10/16/18/21/28  10 -41.86 113.72 20.28   0.00
2/11/16/19/21/22/24 10 -41.86 113.72 20.28   0.00
2/16/18/21/25/33     9 -43.95 113.72 20.28   0.00
1/2/16/21/32         9 -43.95 113.73 20.28   0.00
2/9/16/21/23/28/30  10 -41.86 113.73 20.28   0.00
2/16/21/22/29        8 -45.86 113.73 20.29   0.00
2/15/16/17/18/21     9 -43.95 113.73 20.29   0.00
2/3/16/19/21/27      9 -43.95 113.73 20.29   0.00
1/2/16/18/21/29      9 -43.95 113.73 20.29   0.00
2/13/16/18/20/21    10 -41.87 113.74 20.29   0.00
2/4/16/21/22/29      9 -43.95 113.74 20.29   0.00
2/7/9/16/18/21/23   10 -41.87 113.74 20.29   0.00
2/16/21/27/33        8 -45.87 113.74 20.29   0.00
2/9/16/17/19/21/23  10 -41.87 113.74 20.30   0.00
2/4/16/19/21/28/30  10 -41.87 113.74 20.30   0.00
2/4/9/16/21/30       9 -43.96 113.74 20.30   0.00
2/4/8/12/16/19/21   10 -41.87 113.74 20.30   0.00
2/4/16/19/21/32/33  11 -39.59 113.74 20.30   0.00
2/7/16/17/19/21/30  10 -41.87 113.74 20.30   0.00
1/2/5/16/19/21/25   10 -41.87 113.74 20.30   0.00
2/10/14/15/16/19/21 11 -39.59 113.75 20.30   0.00
2/6/16/18/21/32     10 -41.87 113.75 20.31   0.00
2/12/16/21/26        9 -43.96 113.75 20.31   0.00
2/16/19/21/23/24/27 10 -41.87 113.75 20.31   0.00
2/6/7/12/16/21       9 -43.96 113.75 20.31   0.00
2/16/21/23/28/30     9 -43.96 113.75 20.31   0.00
1/2/16/19/21/29/32  11 -39.59 113.75 20.31   0.00
2/4/8/16/18/21/23   10 -41.88 113.75 20.31   0.00
2/6/8/16/21/28       9 -43.96 113.75 20.31   0.00
2/6/16/19/21/31     11 -39.59 113.75 20.31   0.00
1/2/16/19/21/24/25  10 -41.88 113.76 20.31   0.00
2/9/10/12/16/19/21  10 -41.88 113.76 20.31   0.00
1/2/4/16/21/28       9 -43.97 113.76 20.32   0.00
2/6/8/11/16/18/21   10 -41.88 113.76 20.32   0.00
2/6/15/16/18/21/23  10 -41.88 113.76 20.32   0.00
2/7/16/21/23/24      9 -43.97 113.76 20.32   0.00
2/10/16/19/21/24/29 10 -41.88 113.76 20.32   0.00
2/9/16/18/21/26     10 -41.88 113.77 20.33   0.00
2/5/7/10/16/19/21   10 -41.88 113.77 20.33   0.00
2/5/16/18/19/21/31  12 -37.08 113.77 20.33   0.00
2/9/16/18/20/21/23  10 -41.88 113.77 20.33   0.00
1/2/8/14/16/19/21   11 -39.60 113.77 20.33   0.00
1/2/12/16/19/21/32  11 -39.60 113.77 20.33   0.00
2/4/16/21/29/30      9 -43.97 113.77 20.33   0.00
2/4/6/16/18/21/25   10 -41.89 113.77 20.33   0.00
2/13/15/16/20/21    10 -41.89 113.77 20.33   0.00
2/6/7/16/18/21/25   10 -41.89 113.78 20.34   0.00
2/7/13/16/18/21     10 -41.89 113.78 20.34   0.00
2/6/16/21/23/30      9 -43.98 113.78 20.34   0.00
1/2/16/21/22         8 -45.89 113.78 20.34   0.00
2/6/7/15/16/18/21   10 -41.89 113.79 20.34   0.00
1/2/15/16/21/25/28  10 -41.89 113.79 20.35   0.00
2/7/10/16/21/23      9 -43.98 113.79 20.35   0.00
2/10/15/16/18/20/21 10 -41.89 113.79 20.35   0.00
2/16/17/19/21/26    10 -41.89 113.79 20.35   0.00
2/4/16/19/21/22/28  10 -41.89 113.79 20.35   0.00
2/10/16/18/21/24     9 -43.98 113.79 20.35   0.00
2/7/16/17/19/21/28  10 -41.90 113.79 20.35   0.00
2/11/13/16/21        9 -43.98 113.79 20.35   0.00
2/4/9/12/16/21       9 -43.98 113.79 20.35   0.00
2/7/9/14/16/19/21   11 -39.61 113.79 20.35   0.00
2/9/15/16/18/21/23  10 -41.90 113.79 20.35   0.00
2/11/16/18/21/26    10 -41.90 113.80 20.35   0.00
2/16/18/21/23/28/30 10 -41.90 113.80 20.35   0.00
2/4/16/21/25/28      9 -43.99 113.80 20.36   0.00
2/5/9/16/20/21       9 -43.99 113.80 20.36   0.00
2/7/8/9/11/16/21    10 -41.90 113.80 20.36   0.00
2/5/11/16/19/21/27  10 -41.90 113.80 20.36   0.00
1/2/4/16/18/21/22   10 -41.90 113.80 20.36   0.00
2/4/9/16/19/21/27   10 -41.90 113.80 20.36   0.00
1/2/4/16/18/21/30   10 -41.90 113.80 20.36   0.00
2/7/16/21/23/33      9 -43.99 113.81 20.36   0.00
1/2/16/19/21/27/33  10 -41.90 113.81 20.36   0.00
2/16/17/19/21/25/33 10 -41.90 113.81 20.37   0.00
2/12/16/19/20/21/22 10 -41.90 113.81 20.37   0.00
2/6/12/16/18/20/21  10 -41.91 113.81 20.37   0.00
2/10/13/16/19/21/25 11 -39.62 113.81 20.37   0.00
2/5/9/10/16/19/21   10 -41.91 113.81 20.37   0.00
2/6/9/16/17/19/21   10 -41.91 113.81 20.37   0.00
1/2/10/15/16/21      9 -43.99 113.81 20.37   0.00
2/4/11/12/16/21      9 -44.00 113.82 20.37   0.00
2/9/15/16/21/28/33  10 -41.91 113.82 20.38   0.00
2/12/16/18/21/28/32 11 -39.62 113.82 20.38   0.00
2/8/16/21/33         8 -45.91 113.82 20.38   0.00
2/6/16/21/25/28      9 -44.00 113.82 20.38   0.00
2/4/9/16/21/25       9 -44.00 113.83 20.38   0.00
2/4/7/16/18/21/27   10 -41.91 113.83 20.38   0.00
2/5/16/19/21/22/27  10 -41.91 113.83 20.39   0.00
2/9/15/16/21/33      9 -44.00 113.83 20.39   0.00
2/4/5/7/16/19/21    10 -41.92 113.83 20.39   0.00
2/15/16/21/27/29     9 -44.00 113.83 20.39   0.00
2/4/16/18/21/23/25  10 -41.92 113.83 20.39   0.00
2/3/16/19/21/33      9 -44.00 113.84 20.39   0.00
2/14/16/21/23        9 -44.00 113.84 20.39   0.00
2/5/7/11/16/20/21   10 -41.92 113.84 20.39   0.00
2/8/12/14/16/19/21  11 -39.63 113.84 20.39   0.00
2/3/16/21            7 -47.68 113.84 20.39   0.00
2/16/19/21/23/24/33 10 -41.92 113.84 20.40   0.00
2/8/14/16/19/20/21  11 -39.63 113.84 20.40   0.00
2/9/15/16/21/28/29  10 -41.92 113.84 20.40   0.00
2/16/19/21/25/26/27 11 -39.64 113.84 20.40   0.00
2/10/16/19/21/28/30 10 -41.92 113.84 20.40   0.00
2/16/18/21/27/33     9 -44.01 113.85 20.40   0.00
2/6/11/16/17/19/21  10 -41.92 113.85 20.40   0.00
2/11/12/16/18/21/23 10 -41.92 113.85 20.41   0.00
2/15/16/21/23/33     9 -44.01 113.85 20.41   0.00
2/6/12/16/19/21/24  10 -41.92 113.85 20.41   0.00
2/4/7/16/19/21/24   10 -41.92 113.85 20.41   0.00
2/6/13/16/18/21     10 -41.93 113.85 20.41   0.00
2/6/11/16/18/21/22  10 -41.93 113.85 20.41   0.00
2/5/16/19/20/21/27  10 -41.93 113.85 20.41   0.00
2/16/18/21/23/25/28 10 -41.93 113.85 20.41   0.00
2/4/16/21/27/29      9 -44.01 113.85 20.41   0.00
2/12/16/21/23/30     9 -44.01 113.85 20.41   0.00
2/5/16/19/20/21/32  11 -39.64 113.85 20.41   0.00
2/6/7/12/16/18/21   10 -41.93 113.86 20.41   0.00
2/7/16/19/21/23/26  11 -39.64 113.86 20.41   0.00
2/10/16/19/21/27/32 11 -39.64 113.86 20.42   0.00
2/7/11/15/16/21/30  10 -41.93 113.86 20.42   0.00
2/9/15/16/20/21/23  10 -41.93 113.86 20.42   0.00
2/5/15/16/21/28      9 -44.02 113.86 20.42   0.00
2/4/12/16/21/25      9 -44.02 113.86 20.42   0.00
1/2/15/16/21/28/30  10 -41.93 113.86 20.42   0.00
2/12/16/19/21/30/33 10 -41.93 113.86 20.42   0.00
2/4/9/16/21/29       9 -44.02 113.86 20.42   0.00
1/2/4/16/19/21/27   10 -41.93 113.87 20.42   0.00
2/5/16/21/27         8 -45.93 113.87 20.42   0.00
1/2/11/12/16/19/21  10 -41.93 113.87 20.42   0.00
2/7/10/15/16/21      9 -44.02 113.87 20.42   0.00
2/12/16/18/21/26    10 -41.93 113.87 20.42   0.00
2/15/16/21/23/24     9 -44.02 113.87 20.42   0.00
2/16/19/21/24/30/32 11 -39.65 113.87 20.43   0.00
2/4/16/17/19/21/29  10 -41.93 113.87 20.43   0.00
2/4/6/16/18/21/30   10 -41.93 113.87 20.43   0.00
2/16/19/21/29/32/33 11 -39.65 113.87 20.43   0.00
2/16/17/21/28        8 -45.93 113.87 20.43   0.00
2/16/19/21/24/28/30 10 -41.94 113.87 20.43   0.00
2/6/10/12/16/19/21  10 -41.94 113.87 20.43   0.00
2/7/16/18/21/22/23  10 -41.94 113.87 20.43   0.00
2/16/20/21/23/25     9 -44.03 113.88 20.44   0.00
2/9/14/16/19/21/28  11 -39.65 113.88 20.44   0.00
2/12/15/16/21/26    10 -41.94 113.88 20.44   0.00
2/15/16/21/26/29    10 -41.94 113.88 20.44   0.00
2/4/9/16/19/20/21   10 -41.94 113.88 20.44   0.00
2/4/16/21/28/30      9 -44.03 113.89 20.45   0.00
2/14/16/19/21/23/29 11 -39.66 113.89 20.45   0.00
1/2/6/7/16/21        9 -44.03 113.89 20.45   0.00
2/6/12/15/16/18/21  10 -41.95 113.89 20.45   0.00
2/11/15/16/18/21/23 10 -41.95 113.89 20.45   0.00
2/13/16/17/19/21    10 -41.95 113.90 20.45   0.00
2/16/21/26/33        9 -44.04 113.90 20.46   0.00
2/11/15/16/21/33     9 -44.04 113.90 20.46   0.00
2/7/8/11/16/20/21   10 -41.95 113.90 20.46   0.00
2/16/18/19/21/24/31 12 -37.15 113.90 20.46   0.00
2/7/8/16/21/32      10 -41.95 113.90 20.46   0.00
2/11/12/15/16/18/21 10 -41.95 113.90 20.46   0.00
2/16/19/21/24/28/33 10 -41.95 113.90 20.46   0.00
2/7/16/18/21/23/25  10 -41.95 113.91 20.46   0.00
2/10/16/19/21/30/33 10 -41.95 113.91 20.46   0.00
2/6/15/16/21/25/28  10 -41.95 113.91 20.47   0.00
2/4/5/7/16/21        9 -44.04 113.91 20.47   0.00
1/2/15/16/20/21/28  10 -41.96 113.91 20.47   0.00
2/10/16/19/20/21/30 10 -41.96 113.91 20.47   0.00
2/4/5/16/19/21/25   10 -41.96 113.92 20.48   0.00
1/2/4/15/16/21/25   10 -41.96 113.92 20.48   0.00
2/8/16/18/21/32     10 -41.96 113.93 20.48   0.00
2/11/13/16/18/21    10 -41.96 113.93 20.48   0.00
2/5/11/16/19/21/33  10 -41.96 113.93 20.49   0.00
2/6/7/16/18/21/27   10 -41.97 113.93 20.49   0.00
2/8/16/18/21/25/28  10 -41.97 113.93 20.49   0.00
2/4/16/19/21/27/30  10 -41.97 113.93 20.49   0.00
1/2/15/16/21/29      9 -44.05 113.93 20.49   0.00
2/4/6/9/16/18/21    10 -41.97 113.94 20.49   0.00
2/4/5/16/19/21/23   10 -41.97 113.94 20.49   0.00
2/12/16/19/21/32/33 11 -39.68 113.94 20.49   0.00
2/12/16/21/23/25     9 -44.06 113.94 20.50   0.00
2/8/10/15/16/21      9 -44.06 113.94 20.50   0.00
2/16/17/21/32        9 -44.06 113.94 20.50   0.00
2/8/11/16/18/21/28  10 -41.97 113.94 20.50   0.00
2/4/12/16/19/21/23  10 -41.97 113.94 20.50   0.00
1/2/4/16/19/20/21   10 -41.97 113.94 20.50   0.00
2/8/11/16/21/28      9 -44.06 113.94 20.50   0.00
2/4/6/16/19/21/33   10 -41.97 113.94 20.50   0.00
2/11/16/21/25/28     9 -44.06 113.95 20.50   0.00
2/5/12/16/19/21/23  10 -41.97 113.95 20.50   0.00
2/5/8/16/18/21       9 -44.06 113.95 20.51   0.00
2/11/16/19/21/24/27 10 -41.97 113.95 20.51   0.00
1/2/10/16/18/21/28  10 -41.97 113.95 20.51   0.00
2/11/16/19/20/21/24 10 -41.97 113.95 20.51   0.00
2/12/16/21/22/28     9 -44.06 113.95 20.51   0.00
2/8/16/18/21/28/30  10 -41.98 113.95 20.51   0.00
1/2/16/19/20/21/22  10 -41.98 113.96 20.52   0.00
2/10/16/21/26        9 -44.07 113.96 20.52   0.00
1/2/16/19/21/27/30  10 -41.98 113.96 20.52   0.00
2/4/15/16/18/21/22  10 -41.98 113.96 20.52   0.00
2/4/16/18/21/23/30  10 -41.98 113.96 20.52   0.00
2/7/16/18/20/21/30  10 -41.98 113.96 20.52   0.00
2/7/11/16/21/28/29  10 -41.98 113.96 20.52   0.00
2/11/16/18/21/28/30 10 -41.98 113.96 20.52   0.00
1/2/7/11/15/16/21   10 -41.98 113.97 20.52   0.00
2/10/12/16/19/21/23 10 -41.98 113.97 20.52   0.00
1/2/6/10/16/19/21   10 -41.98 113.97 20.53   0.00
2/16/21/25/33        8 -45.98 113.97 20.53   0.00
2/12/16/19/21/23/24 10 -41.98 113.97 20.53   0.00
2/9/16/17/21         8 -45.98 113.97 20.53   0.00
2/10/16/19/21/22/32 11 -39.70 113.97 20.53   0.00
2/5/16/19/21/23/33  10 -41.99 113.97 20.53   0.00
2/4/10/16/19/21/23  10 -41.99 113.97 20.53   0.00
2/16/21/22/23/25     9 -44.07 113.97 20.53   0.00
2/6/9/16/18/20/21   10 -41.99 113.97 20.53   0.00
2/14/16/18/19/21/32 12 -37.19 113.97 20.53   0.00
2/15/16/17/20/21     9 -44.07 113.97 20.53   0.00
1/2/9/16/21/23       9 -44.07 113.97 20.53   0.00
2/4/16/19/21/24/25  10 -41.99 113.98 20.54   0.00
2/6/9/15/16/18/21   10 -41.99 113.98 20.54   0.00
2/4/11/16/21/30      9 -44.08 113.98 20.54   0.00
2/13/16/19/21/29/30 11 -39.70 113.98 20.54   0.00
2/7/16/20/21/32     10 -41.99 113.98 20.54   0.00
2/7/10/11/16/21/28  10 -41.99 113.98 20.54   0.00
2/16/18/21/26/27    10 -41.99 113.98 20.54   0.00
2/10/16/18/20/21/28 10 -41.99 113.98 20.54   0.00
2/7/16/17/19/21/32  11 -39.71 113.98 20.54   0.00
2/16/19/21/25/26/32 12 -37.19 113.98 20.54   0.00
2/7/11/16/21/23/32  11 -39.71 113.98 20.54   0.00
2/9/12/16/21/27/28  10 -41.99 113.99 20.55   0.00
2/4/8/15/16/18/21   10 -41.99 113.99 20.55   0.00
2/12/16/19/21/22/27 10 -41.99 113.99 20.55   0.00
2/6/11/16/18/21/30  10 -42.00 113.99 20.55   0.00
2/4/6/16/18/21/28   10 -42.00 113.99 20.55   0.00
2/10/15/16/21/27     9 -44.08 114.00 20.55   0.00
2/4/16/18/20/21/22  10 -42.00 114.00 20.55   0.00
2/12/16/19/20/21/27 10 -42.00 114.00 20.55   0.00
2/4/11/16/18/21/23  10 -42.00 114.00 20.56   0.00
2/6/11/15/16/20/21  10 -42.00 114.00 20.56   0.00
2/3/12/15/16/19/21  10 -42.00 114.00 20.56   0.00
