"","name","n.models","importance"
"Air","AverageAnnualProductionperCowlbs",31931,1
"AverageAnnualProductionperCowlbs","Howofteniseachcowmilkedperday",31931,1
"avghum","NumberofMilkingCows",31931,1
"avgtemp","ICM",4090,0.962112986831914
"Bedding","hygiene",4090,0.660763239349587
"BeddingRecycledManure","Howoftenisbeddingtoppedupchangedperweek",4090,0.238184348491794
"BeddingSand","BeddingSawdust",4090,0.21402364569753
"BeddingSawdust","Soil",4090,0.112627986970576
"Commodity","PredipPeroxide",4090,0.0832362923537438
"DW","BeddingSand",4090,0.0761344913053912
"Equip","BeddingRecycledManure",4090,0.0720765108909249
"Filter","totalrain",4090,0.0636697542216656
"Howoftenarealleyscleanedpermonth","Equip",4090,0.0605889964072159
"Howoftenaremilkingunitsrinsedorsanitized","Commodity",4090,0.0567677223123278
"Howoftenisbeddingtoppedupchangedperweek","PredipIodine",4090,0.0496444196033258
"Howofteniseachcowmilkedperday","Manure",4090,0.047876254937036
"Howoftenisthefiltersockchangedperday","Towel",4090,0.045828975357387
"hygiene","UddersClippedFlamed",4090,0.0455228750107993
"ICM","Teat",4090,0.0356049033224546
"Manure","Filter",4090,0.0320154220629774
"NumberofMilkingCows","Air",4090,0.0306337652538691
"PredipIodine","avgtemp",4090,0.0285338460272913
"PredipPeroxide","DW",4090,0.0249484460655845
"Silage","WW",4090,0.0245904942692434
"Soil","Whattypeoftowel",4090,0.0236130270581451
"TailsDocked","Silage",4090,0.0206305390130997
"Teat","Bedding",4090,0.0148353847406578
"totalrain","Howoftenisthefiltersockchangedperday",4090,0.00907331458810717
"Towel","TailsDocked",4090,0.00642516808661802
"UddersClippedFlamed","Howoftenarealleyscleanedpermonth",4090,0.00572654053193025
"water_pond_well","Howoftenaremilkingunitsrinsedorsanitized",4090,0.00359065133630317
"Whattypeoftowel","avghum",4090,0.00201297111712922
"WW","water_pond_well",4090,0.000955349318259032
